resource_type	resource	recommendation	authority	rationale
branch	codex/m7-launcher-population	preserve-owner-review	separate	branch is checked out
branch	codex/m7-launcher-row14-decomposition	preserve-owner-review	separate	branch is checked out
branch	codex/m7-licensing-owner	preserve-owner-review	separate	branch is checked out
branch	codex/m7-performance-owner	preserve-owner-review	separate	branch is checked out
branch	codex/m7-planning-consolidation	preserve-owner-review	separate	branch is checked out
branch	codex/m7-release-binding-generation-procedures	preserve-owner-review	separate	branch is checked out
branch	codex/m7-release-build-procedure	preserve-owner-review	separate	branch is checked out
branch	codex/m7-resilience-errors	preserve-owner-review	separate	branch is checked out
branch	codex/m7-resilience-owner-contract	preserve-owner-review	separate	branch is checked out
branch	codex/m7-resilience-population	preserve-owner-review	separate	branch is checked out
branch	codex/m7-row15-decomposition	preserve-owner-review	separate	branch is checked out
branch	codex/m7-row5-decomposition	preserve-owner-review	separate	branch is checked out
branch	codex/m7-row7-decomposition	preserve-owner-review	separate	branch is checked out
branch	codex/m7-rust-binding-annotation-placement	preserve-owner-review	separate	branch is checked out
branch	codex/m7-rust-binding-index-closure	preserve-owner-review	separate	branch is checked out
branch	codex/m7-rust-binding-package-placement	preserve-owner-review	separate	branch is checked out
branch	codex/m7-rust-binding-workspace	preserve-owner-review	separate	branch is checked out
branch	codex/m7-rust-concurrency-index	preserve-owner-review	separate	branch is checked out
branch	codex/m7-rust-contract-discovery	preserve-owner-review	separate	branch is checked out
branch	codex/m7-rust-core-adapter-testability	preserve-owner-review	separate	branch is checked out
branch	codex/m7-rust-security-0826	preserve-owner-review	separate	branch is checked out
branch	codex/m7-testing-acceptance-path	preserve-owner-review	separate	branch is checked out
branch	codex/m7-testing-async-evidence	preserve-owner-review	separate	branch is checked out
branch	codex/m7-testing-concurrency	preserve-owner-review	separate	branch is checked out
branch	codex/m7-testing-contract-artifacts	preserve-owner-review	separate	branch is checked out
branch	codex/m7-testing-coverage-docs	preserve-owner-review	separate	branch is checked out
branch	codex/m7-testing-data-lifecycle	preserve-owner-review	separate	branch is checked out
branch	codex/m7-testing-focused-design	preserve-owner-review	separate	branch is checked out
branch	codex/m7-testing-frontend	preserve-owner-review	separate	branch is checked out
branch	codex/m7-testing-gates-diagnosis	preserve-owner-review	separate	branch is checked out
branch	codex/m7-testing-language-bindings	preserve-owner-review	separate	branch is checked out
branch	codex/m7-testing-organization	preserve-owner-review	separate	branch is checked out
branch	codex/m7-testing-performance	preserve-owner-review	separate	branch is checked out
branch	codex/m7-testing-resilience	preserve-owner-review	separate	branch is checked out
branch	codex/m7-testing-source-closure	preserve-owner-review	separate	branch is checked out
branch	codex/m7-testing-verification-decomposition	preserve-owner-review	separate	branch is checked out
branch	codex/m7-tooling-commit-route	preserve-owner-review	separate	branch is checked out
branch	codex/m7-tooling-decomposition	preserve-owner-review	separate	branch is checked out
branch	codex/m7-tooling-editor-policy	preserve-owner-review	separate	branch is checked out
branch	codex/m7-tooling-editor-recipes	preserve-owner-review	separate	branch is checked out
branch	codex/m7-tooling-lint-policy	preserve-owner-review	separate	branch is checked out
branch	codex/m7-tooling-lint-recipes	preserve-owner-review	separate	branch is checked out
branch	codex/m7-tooling-owner	preserve-owner-review	separate	branch is checked out
branch	codex/m7-tooling-owner-audit	preserve-owner-review	separate	branch is checked out
branch	codex/m7-tooling-recipes	preserve-owner-review	separate	branch is checked out
branch	codex/m7-tooling-typescript-replan	preserve-owner-review	separate	branch is checked out
branch	codex/m7-typescript-async-owner	preserve-owner-review	separate	branch is checked out
branch	codex/m7-typescript-async-population	preserve-owner-review	separate	branch is checked out
branch	codex/m7-typescript-owner	preserve-owner-review	separate	branch is checked out
branch	codex/m7-typescript-tooling-split	preserve-owner-review	separate	branch is checked out
branch	codex/m7-verification-consolidation	preserve-owner-review	separate	branch is checked out
branch	codex/m7-verification-gate-meaning	preserve-owner-review	separate	branch is checked out
branch	codex/policy-impact-foundation	preserve-owner-review	separate	branch is checked out
branch	codex/policy-impact-owner-closure	preserve-owner-review	separate	branch is checked out
branch	codex/standards-7.4b8i	preserve-owner-review	separate	branch is checked out
branch	codex/standards-7.4b8j	preserve-owner-review	separate	branch is checked out
branch	codex/standards-7.4b8k	preserve-owner-review	separate	branch is checked out
branch	codex/ve055-option4	preserve-owner-review	separate	branch is checked out
branch	codex/ve055-probes	preserve-owner-review	separate	branch is checked out
branch	codex/ve056-s-preflight	preserve-owner-review	separate	branch is checked out
branch	codex/ve057-impl	preserve-owner-review	separate	branch is checked out
branch	codex/ve057-select	preserve-owner-review	separate	branch is checked out
branch	codex/ve05758-impl	preserve-owner-review	separate	branch is checked out
branch	codex/ve058-containment-replan	preserve-owner-review	separate	branch is checked out
branch	codex/ve058-select	preserve-owner-review	separate	branch is checked out
branch	codex/work-proportionality-impact-recovery	preserve-owner-review	separate	branch is checked out
branch	codex/work-slice-proportionality	preserve-owner-review	separate	branch is checked out
branch	main	retain	separate	canonical integration branch
worktree	/media/jeremy/OrangeCream/Linux Software/repos/owned/developer-tooling/Coding-Standards	review-clean-removal	separate	clean worktree head is reachable from main
worktree	/tmp/coding-standards-generated-repair	map-then-review-removal	separate	head is patch-equivalent to main
worktree	/tmp/coding-standards-plan-consumers	map-then-review-removal	separate	head is patch-equivalent to main
worktree	/tmp/coding-standards-planning-profile	preserve-unique-review	separate	worktree head has unique commits
worktree	/tmp/coding-standards-planning-profile-final	map-then-review-removal	separate	head is patch-equivalent to main
worktree	/tmp/coding-standards-planning-recovery	map-then-review-removal	separate	head is patch-equivalent to main
worktree	/tmp/coding-standards-ppr-c1	map-then-review-removal	separate	head is patch-equivalent to main
worktree	/tmp/coding-standards-ppr-c2-history	map-then-review-removal	separate	head is patch-equivalent to main
worktree	/tmp/coding-standards-ppr-c2-special	preserve-owner-review	separate	worktree is locked or dirty
worktree	/tmp/coding-standards-ppr-c2-special-final	preserve-owner-review	separate	worktree is locked or dirty
worktree	/tmp/cs-7.4b5d	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b5e	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b5f	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b6	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b7a	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b7b	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b7c	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b7d	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b7e	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b7f	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b7f1	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b7f2	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b7g	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b7g-corrected	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b7h	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b7i	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b7j	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b7k	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b7l	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b7m	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b7n	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b7o	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8a	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8aa	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8ab	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8ac	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8ad	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8ae	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8af	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8ai	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8aj	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8ak	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8al-plan	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8am	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8an	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8ao	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8ap	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8aq	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8ar	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8as	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8at	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8au	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8av	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8aw	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8ax	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8ay	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8az	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8b	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8ba	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8bb	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8bc	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8bd	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8be	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8bf	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8bg	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8bh	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8bi	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8bj	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8bk	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8bl	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8bm	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8bn	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8bo	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8bp	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8bq	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8br	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8bs	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8bt	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8bu	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8bv	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8bw	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8bx	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8by	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8bz	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8c	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8ca	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8cb	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8cc	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8cd	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8ce	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8cf	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8cg	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8ch	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8ci	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8cj	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8d	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8e	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8f	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8g	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8h	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8i	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8j	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8k	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8l-acceleration	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8m-decision-table	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8n-row5	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8o-core-adapter	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8p-mechanism	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8q-evolution	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8r-discovery	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8v	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8w	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8x	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8y	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b8z	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b9-ci-replan	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b9-format-replan	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b9-replan	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b9a	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b9b	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b9c	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b9d	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b9e	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b9f	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b9g	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b9h	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b9i	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b9j	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b9k	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4b9l	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4bag	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4bah	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4c-plan	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4c2	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4c3-1	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4c3-2	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4c3-commit-index	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4c3-documentation	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4c3-documentation-checker	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4c3-documentation-final	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4c3-documentation-index	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4c3-plan-index	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4c3-row41-repair	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4c3-source-checker-replan	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4c3p	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4c3r	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4c3rh	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4c3v1	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4c3v1-integrated	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-7.4c3v1r	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-child-compaction	map-then-review-removal	separate	head is patch-equivalent to main
worktree	/tmp/cs-commit-preflight	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-cross-platform-replan	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-fresh-package	map-then-review-removal	separate	head is patch-equivalent to main
worktree	/tmp/cs-generic-edge-correctness	map-then-review-removal	separate	head is patch-equivalent to main
worktree	/tmp/cs-generic-edge-system	map-then-review-removal	separate	head is patch-equivalent to main
worktree	/tmp/cs-git-branch-lifecycle	retain	separate	canonical integration worktree
worktree	/tmp/cs-i10-accept	map-then-review-removal	separate	head is patch-equivalent to main
worktree	/tmp/cs-i10-admit	map-then-review-removal	separate	head is patch-equivalent to main
worktree	/tmp/cs-i10-admit2	map-then-review-removal	separate	head is patch-equivalent to main
worktree	/tmp/cs-i10-preflight	map-then-review-removal	separate	head is patch-equivalent to main
worktree	/tmp/cs-i11-discovery	map-then-review-removal	separate	head is patch-equivalent to main
worktree	/tmp/cs-integrate-concurrency	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m2p5	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-c1-admission	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-c1-implementation	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-c2-admission	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-c2-implementation	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-c3-admission	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-c3-implementation	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-c4-admission	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-c4-implementation	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-e1-impl	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-e1-replan	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-i1-impl	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-i1-plan	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-i2-accept	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-i2-probe	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-i3	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-p-atomic	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-p8-admission	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-p8-probe	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-p9-admission	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-p9-probe	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-q-freeze	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-q-w1	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-q1-admission	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-q1-integration	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-q1-proposal	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-q2-admission	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-q2-admission-v2	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-q2-integration	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-q2-proposal	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-q3-admission	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-q3-integration	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-q3-integration-v2	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-q3-integration-v3	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-q3-proposal	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-q3-readme-replan	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-q3-readmission	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-q3-scope-recovery	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-q3-scope-replan	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-q4-admission	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-q4-integration	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-q4-proposal	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-q4-scope-recovery	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-q4-scope-replan	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-r1-admission	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-r1-implementation	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-s1	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-s2	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-s3	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-t1	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-t1-impl	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-t10-admit	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-t10-impl	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-t11-accept	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-t11-admit	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-t11-admit-v2	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-t12-accept	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-t12-admit	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-t12-probe	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-t13-accept	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-t13-admit	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-t13-probe	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-t2-impl	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-t3-impl	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-t3-preflight	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-t4	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-t4-impl	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-t5	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-t5-impl	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-t6	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-t6-impl	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-t7	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-t7-impl	prune-registration	separate	administrative path is missing
worktree	/tmp/cs-m6-t8	prune-registration	separate	administrative path is missing
