subject_kind	subject	path	disposition	current_consumer	post_zero_consumer	terminal_trigger	evidence_owner	rationale
execution-mode	cli.complete	tools/standards_verifier/standards_verifier/cli.py	replace	mixed generated, declarative, and retained-Bash checkpoint	verification-engine.python-only-complete	zero-bash-accepted	verification-engine.zero-bash-acceptance	The same command becomes one Python-only all-suite checkpoint without an alternate mode.
suite	checker-migration-packages	evaluation/standards-effectiveness/suites/checker-migration-packages.toml	delete	migration package and Python-disposition lifecycle	none	zero-bash-accepted	verification-engine.zero-bash-acceptance	Git history and final acceptance evidence replace active package governance after closure.
suite	executable-edge-dispositions	evaluation/standards-effectiveness/suites/executable-edge-dispositions.toml	delete	retained-Bash executable-edge lifecycle	none	zero-bash-accepted	verification-engine.zero-bash-acceptance	No executable Bash edge remains to disposition.
suite	numeric-comparison-classification	evaluation/standards-effectiveness/suites/numeric-comparison-classification.toml	delete	retained-Bash numeric classification and retirement lifecycle	none	zero-bash-accepted	verification-engine.zero-bash-acceptance	The complete subject corpus is removed at closure.
registry-entry	checker-migration-packages	evaluation/standards-effectiveness/suite-registry.toml	delete	registered migration-package suite	none	zero-bash-accepted	verification-engine.zero-bash-acceptance	Deleting the suite requires deleting its sole registry authority.
registry-entry	executable-edge-dispositions	evaluation/standards-effectiveness/suite-registry.toml	delete	registered executable-edge suite	none	zero-bash-accepted	verification-engine.zero-bash-acceptance	Deleting the suite requires deleting its sole registry authority.
registry-entry	numeric-comparison-classification	evaluation/standards-effectiveness/suite-registry.toml	delete	registered numeric lifecycle suite	none	zero-bash-accepted	verification-engine.zero-bash-acceptance	Deleting the suite requires deleting its sole registry authority.
test	test_inventory	tools/standards_verifier/tests/test_inventory.py	delete	standards_verifier.inventory	none	zero-bash-accepted	verification-engine.zero-bash-acceptance	Tests terminate with the deleted migration module rather than preserving its interface.
test	test_migration_graph	tools/standards_verifier/tests/test_migration_graph.py	delete	standards_verifier.migration_graph	none	zero-bash-accepted	verification-engine.zero-bash-acceptance	Tests terminate with the frozen temporary graph.
test	test_generated_artifacts	tools/standards_verifier/tests/test_generated_artifacts.py	delete	standards_verifier.generated_artifacts	none	zero-bash-accepted	verification-engine.zero-bash-acceptance	Tests terminate with migration evidence orchestration.
test	test_numeric_audit	tools/standards_verifier/tests/test_numeric_audit.py	delete	standards_verifier.numeric_audit	none	zero-bash-accepted	verification-engine.zero-bash-acceptance	Tests terminate with the numeric Bash corpus.
test	test_numeric_retirements	tools/standards_verifier/tests/test_numeric_retirements.py	delete	standards_verifier.numeric_retirements	none	zero-bash-accepted	verification-engine.zero-bash-acceptance	Tests terminate with retirement recording.
test	test_complete_checkpoint	tools/standards_verifier/tests/test_complete_checkpoint.py	delete	retained-Bash complete-checkpoint orchestration	none	zero-bash-accepted	verification-engine.zero-bash-acceptance	Permanent CLI and engine tests own Python-only complete behavior after replacement.
test	test_edge_dispositions	tools/standards_verifier/tests/test_edge_dispositions.py	delete	edge_dispositions check kind	none	zero-bash-accepted	verification-engine.zero-bash-acceptance	Tests terminate with the migration-only check interface.
test	test_numeric_lifecycle	tools/standards_verifier/tests/test_numeric_lifecycle.py	delete	numeric_audit_lifecycle check kind	none	zero-bash-accepted	verification-engine.zero-bash-acceptance	Tests terminate with the migration-only check interface.
test	test_migration_python_dispositions	tools/standards_verifier/tests/test_migration_python_dispositions.py	delete	migration_python_dispositions check kind	none	zero-bash-accepted	verification-engine.zero-bash-acceptance	Tests terminate with the migration candidate and disposition gate.
test	test_package_manifest_contract	tools/standards_verifier/tests/test_package_manifest_contract.py	delete	checker-migration-packages suite and terminal disposition gate	none	zero-bash-accepted	verification-engine.zero-bash-acceptance	The terminal final-state gate replaces active migration-manifest validation.
artifact	checker-migration-packages	evaluation/standards-effectiveness/checker-migration-packages.tsv	delete	checker selection, package acceptance, and historical migration state	none	zero-bash-accepted	verification-engine.zero-bash-acceptance	Accepted ledgers and Git history retain history; the live package database has no post-zero decision to make.
artifact	executable-edge-dispositions	evaluation/standards-effectiveness/executable-edge-dispositions.tsv	delete	accepted retained-Bash incident-edge lifecycle	none	zero-bash-accepted	verification-engine.zero-bash-acceptance	No edge subject remains and the file must not become permanent graph authority.
artifact	numeric-candidate-retirement-packages	evaluation/standards-effectiveness/numeric-candidate-retirement-packages.tsv	delete	accepted live-checker candidate retirements	none	zero-bash-accepted	verification-engine.zero-bash-acceptance	No numeric candidate remains live.
artifact	numeric-comparison-decisions	evaluation/standards-effectiveness/numeric-comparison-decisions.tsv	delete	reviewed retained-Bash numeric semantics	none	zero-bash-accepted	verification-engine.zero-bash-acceptance	No retained-Bash expression remains to classify.
generated-artifact	checker-structure-inventory	evaluation/standards-effectiveness/generated/checker-structure-inventory.tsv	delete	retained-Bash inventory and checkpoint order	none	zero-bash-accepted	verification-engine.zero-bash-acceptance	The final zero observation belongs in acceptance evidence, not a permanent empty artifact.
generated-artifact	checker-dependency-nodes	evaluation/standards-effectiveness/generated/checker-dependency-nodes.tsv	delete	frozen retained-Bash graph	none	zero-bash-accepted	verification-engine.zero-bash-acceptance	The temporary graph is deleted wholesale.
generated-artifact	checker-dependency-edges	evaluation/standards-effectiveness/generated/checker-dependency-edges.tsv	delete	frozen retained-Bash graph and executable-edge lifecycle	none	zero-bash-accepted	verification-engine.zero-bash-acceptance	The temporary graph is deleted wholesale.
generated-artifact	checker-dependency-components	evaluation/standards-effectiveness/generated/checker-dependency-components.tsv	delete	frozen retained-Bash graph	none	zero-bash-accepted	verification-engine.zero-bash-acceptance	The temporary graph is deleted wholesale.
generated-artifact	numeric-comparison-candidates	evaluation/standards-effectiveness/generated/numeric-comparison-candidates.tsv	delete	immutable retained-Bash numeric baseline	none	zero-bash-accepted	verification-engine.zero-bash-acceptance	The baseline has no post-zero subject and is preserved only in accepted history.
generated-artifact	numeric-candidate-retirements	evaluation/standards-effectiveness/generated/numeric-candidate-retirements.tsv	delete	accepted retained-Bash numeric retirement mappings	none	zero-bash-accepted	verification-engine.zero-bash-acceptance	No active retirement mapping remains after closure.
artifact	migration-python-dispositions	evaluation/standards-effectiveness/migration-python-dispositions.tsv	delete	pre-resume and zero-Bash terminal authority	none	zero-bash-accepted	verification-engine.zero-bash-acceptance	Final acceptance records closure; the migration control table must not become permanent architecture.
documentation	verifier-migration-documentation	tools/standards_verifier/README.md	replace	operators running mixed verification and migration evidence tools	verification-engine.python-only-complete	zero-bash-accepted	verification-engine.zero-bash-acceptance	Remove temporary graph, numeric, package, and retained-Bash instructions while preserving current Python verifier usage.
