id	path	line	level	target_role	disposition	heading
STD-0148	CODING-STANDARDS.md	174	2	core	split	Constants and Configuration
STD-0149	CODING-STANDARDS.md	176	3	core	split	No Magic Numbers or Strings
STD-0150	CODING-STANDARDS.md	193	3	core	split	Centralize Constants
STD-0151	CODING-STANDARDS.md	214	2	core	split	Error Handling
STD-0152	CODING-STANDARDS.md	216	3	core	split	Exceptions for Exceptional Cases
STD-0153	CODING-STANDARDS.md	235	3	core	split	Catch at Boundaries
STD-0154	CODING-STANDARDS.md	265	3	core	split	Production Error Diagnostics
STD-0155	CODING-STANDARDS.md	317	3	core	split	Validate at Boundaries
STD-0156	CODING-STANDARDS.md	334	3	core	split	Validate Outbound Responses
STD-0157	CODING-STANDARDS.md	356	2	core	split	Dependency Management
STD-0158	CODING-STANDARDS.md	361	2	core	split	Code Style
STD-0159	CODING-STANDARDS.md	363	3	core	split	Code Volume Discipline
STD-0160	CODING-STANDARDS.md	387	3	core	split	Avoid Over-Engineering
STD-0161	CODING-STANDARDS.md	410	3	core	split	Abstractions Must Reduce Reasoning Load
STD-0162	CODING-STANDARDS.md	425	3	core	split	Don't Repeat Yourself (DRY)
STD-0163	CODING-STANDARDS.md	454	3	core	split	Delete Unused Code
STD-0164	CODING-STANDARDS.md	467	2	core	split	Naming Conventions
STD-0165	CODING-STANDARDS.md	469	3	core	split	Be Descriptive
STD-0166	CODING-STANDARDS.md	485	3	core	split	Consistent Terminology
STD-0167	CODING-STANDARDS.md	501	2	core	split	Invariants and Safety
STD-0168	CODING-STANDARDS.md	503	3	core	split	Documenting Invariants
STD-0169	CODING-STANDARDS.md	510	1	core	split	Invariants Maintained
STD-0170	CODING-STANDARDS.md	516	1	core	split	Preconditions
STD-0171	CODING-STANDARDS.md	521	1	core	split	Postconditions
STD-0172	CODING-STANDARDS.md	527	3	core	split	Validation Strategy
STD-0173	CODING-STANDARDS.md	538	3	core	split	Invariant Testing
STD-0174	CODING-STANDARDS.md	547	2	core	split	Disabled Features
STD-0175	CODING-STANDARDS.md	551	3	core	split	Documentation Requirements
STD-0176	CODING-STANDARDS.md	572	3	core	split	Config Pattern
STD-0177	CODING-STANDARDS.md	577	3	core	split	Unimplemented Stubs
STD-0178	CODING-STANDARDS.md	592	3	core	split	Review Checklist
STD-0179	CODING-STANDARDS.md	601	2	core	split	License Attribution
STD-0180	CODING-STANDARDS.md	605	3	core	split	Attribution Format
STD-0181	CODING-STANDARDS.md	620	3	core	split	License Compatibility
STD-0182	CODING-STANDARDS.md	632	3	core	split	File-Level Attribution
STD-0183	CODING-STANDARDS.md	646	2	core	split	Language-Specific Guidelines
STD-0184	CODING-STANDARDS.md	658	2	core	split	TypeScript-Specific Guidelines
STD-0185	CODING-STANDARDS.md	660	3	core	split	Explicit Return Types on Public Functions
STD-0186	CODING-STANDARDS.md	681	3	core	split	Contract Types for API Boundaries
STD-0187	CODING-STANDARDS.md	698	3	core	split	Frontend-Specific Standards
STD-0188	CODING-STANDARDS.md	704	2	core	split	Performance-Critical Code
STD-0189	CODING-STANDARDS.md	706	3	core	split	Documentation
STD-0190	CODING-STANDARDS.md	713	1	core	split	Performance
STD-0191	CODING-STANDARDS.md	716	2	core	split	Optimizations Applied
STD-0192	CODING-STANDARDS.md	721	2	core	split	Benchmarks
STD-0193	CODING-STANDARDS.md	725	3	core	split	Guidelines
STD-0194	CODING-STANDARDS.md	737	3	core	split	When to Optimize
STD-0195	COMMIT-STANDARDS.md	1	1	workflow	refine	Commit Standards
STD-0196	COMMIT-STANDARDS.md	5	2	workflow	refine	Conventional Commits Format
STD-0197	COMMIT-STANDARDS.md	17	3	workflow	refine	Components
STD-0198	COMMIT-STANDARDS.md	27	3	workflow	refine	Commit Types
STD-0199	COMMIT-STANDARDS.md	41	3	workflow	refine	Choosing a Type
STD-0200	COMMIT-STANDARDS.md	55	2	workflow	refine	Scopes
STD-0201	COMMIT-STANDARDS.md	60	2	workflow	refine	Example Scopes
STD-0202	COMMIT-STANDARDS.md	73	3	workflow	refine	Scope Guidelines
STD-0203	COMMIT-STANDARDS.md	80	2	workflow	refine	Writing Good Descriptions
STD-0204	COMMIT-STANDARDS.md	82	3	workflow	refine	Use Imperative Mood
STD-0205	COMMIT-STANDARDS.md	98	3	workflow	refine	Be Specific
STD-0206	COMMIT-STANDARDS.md	112	3	workflow	refine	Keep It Short
STD-0207	COMMIT-STANDARDS.md	118	2	workflow	refine	Commit Body
STD-0208	COMMIT-STANDARDS.md	140	2	workflow	refine	Commit Footer
STD-0209	COMMIT-STANDARDS.md	142	3	workflow	refine	Breaking Changes
STD-0210	COMMIT-STANDARDS.md	152	3	workflow	refine	Issue References
STD-0211	COMMIT-STANDARDS.md	162	3	workflow	refine	Co-Authors
STD-0212	COMMIT-STANDARDS.md	170	3	workflow	refine	Agent Footer (Multi-Agent Orchestration)
STD-0213	COMMIT-STANDARDS.md	184	2	workflow	refine	Pre-Commit Checklist
STD-0214	COMMIT-STANDARDS.md	189	1	workflow	refine	1. Check what's staged
STD-0215	COMMIT-STANDARDS.md	192	1	workflow	refine	2. Review the actual changes
STD-0216	COMMIT-STANDARDS.md	195	1	workflow	refine	3. Review unpushed history for regression + fix pairs
STD-0217	COMMIT-STANDARDS.md	196	1	workflow	refine	If no upstream is configured, compare against your intended base branch
STD-0218	COMMIT-STANDARDS.md	197	1	workflow	refine	(for example: origin/main..HEAD)
STD-0219	COMMIT-STANDARDS.md	200	1	workflow	refine	4. Run linters/formatters
STD-0220	COMMIT-STANDARDS.md	203	1	workflow	refine	5. Run tests (at minimum, affected tests)
STD-0221	COMMIT-STANDARDS.md	206	1	workflow	refine	6. Commit with conventional format
STD-0222	COMMIT-STANDARDS.md	210	2	workflow	refine	Mandatory History Cleanup Before Commit
STD-0223	COMMIT-STANDARDS.md	225	3	workflow	refine	Workflow
STD-0224	COMMIT-STANDARDS.md	228	1	workflow	refine	Inspect unpushed commits
STD-0225	COMMIT-STANDARDS.md	229	1	workflow	refine	If no upstream is configured, compare against your intended base branch
STD-0226	COMMIT-STANDARDS.md	230	1	workflow	refine	(for example: origin/main..HEAD)
STD-0227	COMMIT-STANDARDS.md	233	1	workflow	refine	Mark intended cleanup as fixup during normal development
STD-0228	COMMIT-STANDARDS.md	236	1	workflow	refine	Rewrite unpushed history and autosquash fixups
STD-0229	COMMIT-STANDARDS.md	237	1	workflow	refine	If no upstream is configured, use your intended base branch
STD-0230	COMMIT-STANDARDS.md	238	1	workflow	refine	(for example: origin/main)
STD-0231	COMMIT-STANDARDS.md	244	2	workflow	refine	Commit Frequency
STD-0232	COMMIT-STANDARDS.md	246	3	workflow	refine	Commit Often
STD-0233	COMMIT-STANDARDS.md	262	3	workflow	refine	One Logical Change Per Commit
STD-0234	COMMIT-STANDARDS.md	269	2	workflow	refine	Staging Best Practices
STD-0235	COMMIT-STANDARDS.md	271	3	workflow	refine	Stage Specific Files
STD-0236	COMMIT-STANDARDS.md	274	1	workflow	refine	BAD: Stages everything (may include unwanted files)
STD-0237	COMMIT-STANDARDS.md	278	1	workflow	refine	GOOD: Stage specific files
STD-0238	COMMIT-STANDARDS.md	283	3	workflow	refine	Review Before Committing
STD-0239	COMMIT-STANDARDS.md	286	1	workflow	refine	Always check what you're about to commit
STD-0240	COMMIT-STANDARDS.md	289	1	workflow	refine	Or use interactive staging
STD-0241	COMMIT-STANDARDS.md	293	3	workflow	refine	Exclude Sensitive Files
STD-0242	COMMIT-STANDARDS.md	301	2	workflow	refine	Commit Message Examples
STD-0243	COMMIT-STANDARDS.md	303	3	workflow	refine	Feature
STD-0244	COMMIT-STANDARDS.md	316	3	workflow	refine	Bug Fix
STD-0245	COMMIT-STANDARDS.md	327	3	workflow	refine	Refactor
STD-0246	COMMIT-STANDARDS.md	338	3	workflow	refine	Chore
STD-0247	COMMIT-STANDARDS.md	349	2	workflow	refine	Handling Mistakes
STD-0248	COMMIT-STANDARDS.md	351	3	workflow	refine	Amend Last Commit (Before Push)
STD-0249	COMMIT-STANDARDS.md	354	1	workflow	refine	Fix the last commit message
STD-0250	COMMIT-STANDARDS.md	357	1	workflow	refine	Add forgotten files to last commit
STD-0251	COMMIT-STANDARDS.md	362	3	workflow	refine	After Pushing
STD-0252	COMMIT-STANDARDS.md	367	1	workflow	refine	Create a new commit that fixes the issue
STD-0253	COMMIT-STANDARDS.md	374	2	workflow	refine	Merge Commits vs. Squash
STD-0254	COMMIT-STANDARDS.md	376	3	workflow	refine	When to Squash
STD-0255	COMMIT-STANDARDS.md	382	3	workflow	refine	When to Keep History
STD-0256	COMMIT-STANDARDS.md	388	3	workflow	refine	Rewriting Unpushed Merge Commits
STD-0257	COMMIT-STANDARDS.md	397	1	workflow	refine	Merge-aware history rewrite (when merge commits are involved)
STD-0258	COMMIT-STANDARDS.md	398	1	workflow	refine	If no upstream is configured, use your intended base branch
STD-0259	COMMIT-STANDARDS.md	399	1	workflow	refine	(for example: origin/main)
STD-0260	COMMIT-STANDARDS.md	402	1	workflow	refine	Verify topology before push
STD-0261	COMMIT-STANDARDS.md	403	1	workflow	refine	If no upstream is configured, compare against your intended base branch
STD-0262	COMMIT-STANDARDS.md	404	1	workflow	refine	(for example: origin/main..HEAD)
STD-0263	CONCURRENCY-STANDARDS.md	1	1	topic	refine	Concurrency Standards
STD-0264	CONCURRENCY-STANDARDS.md	5	2	topic	refine	Core Principles
STD-0265	CONCURRENCY-STANDARDS.md	7	3	topic	refine	1. Prefer Message Passing Over Shared Mutable State
STD-0266	CONCURRENCY-STANDARDS.md	23	3	topic	refine	2. Protect Shared Mutable State
STD-0267	CONCURRENCY-STANDARDS.md	48	3	topic	refine	3. Keep Related State Under One Lock
STD-0268	CONCURRENCY-STANDARDS.md	67	3	topic	refine	4. Keep Async Paths Non-Blocking
STD-0269	CONCURRENCY-STANDARDS.md	98	2	topic	refine	C# Async/Await Rules
STD-0270	CONCURRENCY-STANDARDS.md	100	3	topic	refine	Always Observe Task Errors
STD-0271	CONCURRENCY-STANDARDS.md	121	3	topic	refine	Never Block on Async
STD-0272	CONCURRENCY-STANDARDS.md	137	3	topic	refine	Pass CancellationToken Through Async Chains
STD-0273	CONCURRENCY-STANDARDS.md	157	3	topic	refine	Use ConfigureAwait(false) in Library/Service Code
STD-0274	CONCURRENCY-STANDARDS.md	172	2	topic	refine	Rust Concurrency Cross-Reference
STD-0275	CONCURRENCY-STANDARDS.md	181	2	topic	refine	TypeScript Concurrency Rules
STD-0276	CONCURRENCY-STANDARDS.md	183	3	topic	refine	Guard Against Stale Async Responses
STD-0277	CONCURRENCY-STANDARDS.md	202	2	topic	refine	Godot Thread Safety
STD-0278	CONCURRENCY-STANDARDS.md	204	3	topic	refine	Main Thread Rule
STD-0279	CONCURRENCY-STANDARDS.md	210	3	topic	refine	`IsInstanceValid` Before Use
STD-0280	CROSS-PLATFORM-STANDARDS.md	1	1	topic	refine	Cross-Platform Standards
STD-0281	CROSS-PLATFORM-STANDARDS.md	5	2	topic	refine	Platform Targets
STD-0282	CROSS-PLATFORM-STANDARDS.md	20	2	topic	refine	Core Rules
STD-0283	CROSS-PLATFORM-STANDARDS.md	22	3	topic	refine	1. No Inline Platform Checks in Business Logic
STD-0284	CROSS-PLATFORM-STANDARDS.md	42	3	topic	refine	2. Strategy + Factory Pattern
STD-0285	CROSS-PLATFORM-STANDARDS.md	73	3	topic	refine	3. One Platform Per File
STD-0286	CROSS-PLATFORM-STANDARDS.md	90	3	topic	refine	4. Graceful Degradation for Best-Effort Platforms
STD-0287	CROSS-PLATFORM-STANDARDS.md	110	3	topic	refine	5. No `#if` Preprocessor Directives for Platform
STD-0288	CROSS-PLATFORM-STANDARDS.md	128	3	topic	refine	6. Language-Specific Platform Mechanisms
STD-0289	CROSS-PLATFORM-STANDARDS.md	137	2	topic	refine	File System Conventions
STD-0290	CROSS-PLATFORM-STANDARDS.md	139	3	topic	refine	Path Construction
STD-0291	CROSS-PLATFORM-STANDARDS.md	161	3	topic	refine	Path Comparison
STD-0292	CROSS-PLATFORM-STANDARDS.md	174	3	topic	refine	Canonical Filesystem Identity
STD-0293	CROSS-PLATFORM-STANDARDS.md	199	3	topic	refine	Spaces in Paths
STD-0294	CROSS-PLATFORM-STANDARDS.md	209	2	topic	refine	Native Library Rules
STD-0295	CROSS-PLATFORM-STANDARDS.md	211	3	topic	refine	Loading Strategy
STD-0296	CROSS-PLATFORM-STANDARDS.md	216	3	topic	refine	Library Naming
STD-0297	CROSS-PLATFORM-STANDARDS.md	224	3	topic	refine	Installation Documentation
STD-0298	CROSS-PLATFORM-STANDARDS.md	231	2	topic	refine	CI Matrix
STD-0299	CROSS-PLATFORM-STANDARDS.md	254	3	topic	refine	When to Build
STD-0300	DEPENDENCY-STANDARDS.md	1	1	topic	split	Dependency Standards
STD-0301	DEPENDENCY-STANDARDS.md	5	2	topic	split	Core Principles
STD-0302	DEPENDENCY-STANDARDS.md	7	3	topic	split	1. Every Dependency Must Justify Its Cost
STD-0303	DEPENDENCY-STANDARDS.md	14	3	topic	split	2. Dependencies Flow Downward
STD-0304	DEPENDENCY-STANDARDS.md	29	3	topic	split	3. Prefer the Standard Library
STD-0305	DEPENDENCY-STANDARDS.md	36	3	topic	split	4. One Purpose per Dependency
STD-0306	DEPENDENCY-STANDARDS.md	44	2	topic	split	Before Adding a Dependency
STD-0307	DEPENDENCY-STANDARDS.md	46	3	topic	split	Evaluation Questions
STD-0308	DEPENDENCY-STANDARDS.md	61	3	topic	split	Build-or-Depend Decision Matrix
STD-0309	DEPENDENCY-STANDARDS.md	71	3	topic	split	Transitive Dependency Thresholds
STD-0310	DEPENDENCY-STANDARDS.md	87	1	topic	split	View dependency tree of a package before installing
STD-0311	DEPENDENCY-STANDARDS.md	90	1	topic	split	Check bundle size impact
STD-0312	DEPENDENCY-STANDARDS.md	97	1	topic	split	List all transitive dependencies
STD-0313	DEPENDENCY-STANDARDS.md	103	2	topic	split	Searching and Comparing Dependencies
STD-0314	DEPENDENCY-STANDARDS.md	105	3	topic	split	Where to Search
STD-0315	DEPENDENCY-STANDARDS.md	113	3	topic	split	Comparison Criteria
STD-0316	DEPENDENCY-STANDARDS.md	125	3	topic	split	Red Flags
STD-0317	DEPENDENCY-STANDARDS.md	140	2	topic	split	Version Management
STD-0318	DEPENDENCY-STANDARDS.md	142	3	topic	split	Always Use Lockfiles
STD-0319	DEPENDENCY-STANDARDS.md	154	3	topic	split	Version Pinning Strategy
STD-0320	DEPENDENCY-STANDARDS.md	163	3	topic	split	Centralized Version Management
STD-0321	DEPENDENCY-STANDARDS.md	187	3	topic	split	Dependency Ownership Must Match Execution Boundaries
STD-0322	DEPENDENCY-STANDARDS.md	248	3	topic	split	TypeScript/Node Workspaces: Tooling Ownership and Resolution
STD-0323	DEPENDENCY-STANDARDS.md	361	3	topic	split	Checking Compatibility Before Upgrading
STD-0324	DEPENDENCY-STANDARDS.md	376	2	topic	split	Minimizing Dependency Footprint
STD-0325	DEPENDENCY-STANDARDS.md	378	3	topic	split	Enable Only Required Features
STD-0326	DEPENDENCY-STANDARDS.md	411	3	topic	split	Feature-Gate Heavy Optional Functionality
STD-0327	DEPENDENCY-STANDARDS.md	432	3	topic	split	Keep Library Packages Lean
STD-0328	DEPENDENCY-STANDARDS.md	442	3	topic	split	Transitive Dependency Inspection
