candidate_id	checker	line	column	matcher	operator	numeric_literals	expression	source_fingerprint	source_text
numeric-e92caf6564a2c68585d150ad8095109f8a5cee63cbc585be76c07c9b5ab48550	evaluation/standards-effectiveness/verify-architecture-directory-template-closure.sh	48	84	shell-numeric	-eq	1	""")"" -eq 1"	c73f758828118910e45ef6d231be9bd37b85ceb85fa977fcbec96ea2b0a15b6b	"  [[ ""$(awk -F '\t' -v id=""$id"" '$1 == id { n++ } END { print n+0 }' ""$DISPOSITIONS"")"" -eq 1 ]]"
numeric-8b1c7a77ffaa7c3162c63ab02543b759eeb5d5c53d94864105db6fc5db91e5af	evaluation/standards-effectiveness/verify-architecture-discover-or-create-convergence.sh	30	4	shell-numeric	-eq	16	"""$count"" -eq 16"	02dadcc791ade87535bec15fd778f18e6276a01473b984e8eeb408ee04e0b738	"[[ ""$count"" -eq 16 ]]"
numeric-f2bb11147758a018b79ae9c3241441b9c8748842d3598a3bfd48b0a10193a4f3	evaluation/standards-effectiveness/verify-architecture-discover-or-create-convergence.sh	64	60	symbolic-numeric	!=	5	NF != 5	e055f10521c480b03411b3c37e2eaff967e0140b3704d5b5fa50e78bc1d430de	"[[ ""$(awk -F '\t' '$1 >= ""STD-0099"" && $1 <= ""STD-0103"" && NF != 5 { n++ } END { print n+0 }' ""$DISPOSITIONS"")"" -eq 0 ]]"
numeric-56c978835fd3d5fb7373de3586204b5732eff559ecb92da947860b16a2ed0086	evaluation/standards-effectiveness/verify-architecture-discover-or-create-convergence.sh	64	109	shell-numeric	-eq	0	""")"" -eq 0"	e055f10521c480b03411b3c37e2eaff967e0140b3704d5b5fa50e78bc1d430de	"[[ ""$(awk -F '\t' '$1 >= ""STD-0099"" && $1 <= ""STD-0103"" && NF != 5 { n++ } END { print n+0 }' ""$DISPOSITIONS"")"" -eq 0 ]]"
numeric-4e23bbfd5eb9a79128b37902c4877a702ae4de206b7f92f254a935fd8c70a32f	evaluation/standards-effectiveness/verify-architecture-discover-or-create-reference.sh	30	4	shell-numeric	-eq	14	"""$count"" -eq 14"	1a0d6befe9a4c9f6f15bdaacdc897b1d8f248f9e273a3784693d80ab8d7d76ff	"[[ ""$count"" -eq 14 ]]"
numeric-229d874e34022245c9dbe31ff7c40f0895c4710e055d344cf77a2fb7cec73563	evaluation/standards-effectiveness/verify-architecture-discover-or-create-reference.sh	53	60	symbolic-numeric	!=	5	NF != 5	eadb00a6ae81c6c5f0a75bb3fa971e1d4116eca7fc4832c53943d99111d2b749	"[[ ""$(awk -F '\t' '$1 >= ""STD-0104"" && $1 <= ""STD-0105"" && NF != 5 { n++ } END { print n+0 }' ""$DISPOSITIONS"")"" -eq 0 ]]"
numeric-b403d5890eab71007355375038f4253347874625093107d992eedc6cf911650a	evaluation/standards-effectiveness/verify-architecture-discover-or-create-reference.sh	53	109	shell-numeric	-eq	0	""")"" -eq 0"	eadb00a6ae81c6c5f0a75bb3fa971e1d4116eca7fc4832c53943d99111d2b749	"[[ ""$(awk -F '\t' '$1 >= ""STD-0104"" && $1 <= ""STD-0105"" && NF != 5 { n++ } END { print n+0 }' ""$DISPOSITIONS"")"" -eq 0 ]]"
numeric-17115ee8e3599f4014f28f68b40a1655e45c84d01d1caa0f52bc078628a85675	evaluation/standards-effectiveness/verify-architecture-pattern-selection-closure.sh	29	4	shell-numeric	-eq	18	"""$count"" -eq 18"	4699a28487e8bfa21162f5739972012584fd5081680c93d2f1fd8bae386e53ba	"[[ ""$count"" -eq 18 ]]"
numeric-0fad61fe4b7366371ddba4ca85b810070508697f20945eb8702f4c9ee56f55ee	evaluation/standards-effectiveness/verify-architecture-pattern-selection-closure.sh	51	78	shell-numeric	-eq	1	""")"" -eq 1"	9414dacfdd7488bc2597825282835da298baaee8bde45b81eb1b1c02c7f230a0	"[[ ""$(awk -F '\t' '$1 == ""STD-0134"" { n++ } END { print n+0 }' ""$DISPOSITIONS"")"" -eq 1 ]]"
numeric-f96d21bbc3f73b3ae8c1cc1f859eb082eb3458f4380fcb25ccede91b32d37160	evaluation/standards-effectiveness/verify-architecture-process-instance-coordination.sh	29	4	shell-numeric	-eq	15	"""$count"" -eq 15"	937a3c1266df9f1d0ae242cbf93f89fba899ba2e646c905dcbd8d8e764986a04	"[[ ""$count"" -eq 15 ]]"
numeric-434be338b1acb62f16ba38a7303857b1b5b9aad079cd0934387293b71f32e73f	evaluation/standards-effectiveness/verify-architecture-process-instance-coordination.sh	61	60	symbolic-numeric	!=	5	NF != 5	200be63915d3a74801a2ad705c7f86457ab9c4fc3dfd0a02f28263485644417c	"[[ ""$(awk -F '\t' '$1 >= ""STD-0093"" && $1 <= ""STD-0098"" && NF != 5 { n++ } END { print n+0 }' ""$DISPOSITIONS"")"" -eq 0 ]]"
numeric-74fe05923231a7d7858aca3bd40a49773293d1ba67f14507a2fc7b38a30ef82d	evaluation/standards-effectiveness/verify-architecture-process-instance-coordination.sh	61	109	shell-numeric	-eq	0	""")"" -eq 0"	200be63915d3a74801a2ad705c7f86457ab9c4fc3dfd0a02f28263485644417c	"[[ ""$(awk -F '\t' '$1 >= ""STD-0093"" && $1 <= ""STD-0098"" && NF != 5 { n++ } END { print n+0 }' ""$DISPOSITIONS"")"" -eq 0 ]]"
numeric-e0cc6d49b77bb7fe817b8dce259e497f765baee11fb8489d4c09b72a453d4524	evaluation/standards-effectiveness/verify-binding-contract-evolution.sh	58	5	symbolic-numeric	>	1	NR > 1	3819b8d2704288d84f72adae88926b308e7e49a357bda14e36825d58dc8d9894	"    NR > 1 && ($1 == ""STD-0767"" || $1 == ""STD-0807"" || $1 == ""STD-0808"") {"
numeric-6b330fbf405a25638f7faea2aec9361fbbb933f8ca0c3f8b9563d513e91879e7	evaluation/standards-effectiveness/verify-binding-generation-authority.sh	35	45	symbolic-numeric	>	1	NR > 1	cebae63eef1fa6f7ef010d6eddcd66d1c922360bdb178208a0b1f828495fc7ef	"mapfile -t disposition_ids < <(awk -F '\t' 'NR > 1 && ($1 == ""STD-0782"" || $1 == ""STD-0783"") { print $1 }' ""$DISPOSITIONS"")"
numeric-9ae6910df189c32fe821953e4278cef2ce2a1521983ed2f78db76e803994e3a3	evaluation/standards-effectiveness/verify-concurrency-policy.sh	67	5	symbolic-numeric	>	1	NR > 1	517fb6b2b46d00fc930eb4421dd2f1bc53bcd1dd3a6f14760a7eebae31b3c3ff	"    NR > 1 && $2 == ""CONCURRENCY-STANDARDS.md"" &&"
numeric-3e52b9042d5ec85480ceacc963f969864bf26185be4f1579923b2e8eea8b3b42	evaluation/standards-effectiveness/verify-concurrency-policy.sh	151	14	symbolic-numeric	>	1	NR > 1	b409d5f4fe683fc0e1edc25baf6422ebd70512be3be7b66044e22d678f975403	"awk -F '\t' 'NR > 1 && $1 == ""STD-0269"" {"
numeric-7dfb7b66b4f10a39d700c75ad3ca0060c60e20b1316155d55b30e0ebed120b68	evaluation/standards-effectiveness/verify-concurrency-policy.sh	156	14	symbolic-numeric	>	1	NR > 1	d602d045d30c13fa92eaa4eb4d51abb57fea658154ebddb17f71920705d35f09	"awk -F '\t' 'NR > 1 && $1 == ""STD-0274"" {"
numeric-c37a8efb35a736578fde2fe64cd1c23c970a6c3e86dbba10d165813312467169	evaluation/standards-effectiveness/verify-consolidation-dispositions.sh	13	16	symbolic-numeric	>	1	NR > 1	a87399355865c413eaf9e32791fe93785369b03250fc1451676d25050e3e964b	"  awk -F '\t' 'NR > 1 && $2 == ""COMMIT-STANDARDS.md"" { print $1 }' \"
numeric-d8caa2e7ebd66f74f96b19aebdf9e4d9c66adca705427bbcea7cf2acd3a9c8c8	evaluation/standards-effectiveness/verify-consolidation-dispositions.sh	53	49	shell-numeric	-gt	20	""")"" -gt 20"	5aafc55d9c5dd5c67441231874afba4ef7dc1a47a129535a21af7333f1fb14c7	"if [[ ""$(wc -l < ""$REPO_ROOT/COMMIT-STANDARDS.md"")"" -gt 20 ]]; then"
numeric-7b4f6eb5448fa3837e629d6f0c23efd6e43b4a87a6efd37add6d7b7d09259cc5	evaluation/standards-effectiveness/verify-contract-ownership.sh	16	48	shell-numeric	-lt	1	""")"" -lt 1"	f0c3dbad6c4fc921c37086bd20ff31ad64c1f9561551715533930ec9717c957d	"  if [[ ""$(grep -c 'topics/contracts.md' ""$file"")"" -lt 1 ]]; then"
numeric-a8dfe09da1046e3029d0aa97dcb5e02ae7dd263a6018e7a70d9853e730cf9bd6	evaluation/standards-effectiveness/verify-cross-language-contract.sh	55	4	shell-numeric	-eq	16	"""$count"" -eq 16"	02dadcc791ade87535bec15fd778f18e6276a01473b984e8eeb408ee04e0b738	"[[ ""$count"" -eq 16 ]]"
numeric-70b00865d4560b64dc2b98b19d8aeb2ba1604500982cc26ed3e6df6189aeecc5	evaluation/standards-effectiveness/verify-cross-language-contract.sh	59	16	shell-numeric	-eq	1	""")"" -eq 1"	486602f2b34ca4134468ef3c046aeb792ea55eb206d72407fe22ccda005187c9	"    ""$INVENTORY"")"" -eq 1 ]]"
numeric-16a8964a374f6ac3f8fe7ae97f392a8a508d15e7e8e461eca1d19d6971c248dd	evaluation/standards-effectiveness/verify-cross-language-contract.sh	61	5	symbolic-numeric	>	1	NR > 1	2f983e33ad367acaf679322e8be7b9391b211a10a8d4c726cdb11f81cbd16730	    NR > 1 && $1 == id {
numeric-cf27f216ab566774f59ff5b7acc4fe2b97675afe5eed7e223c78c6ecb0884bc4	evaluation/standards-effectiveness/verify-cross-language-contract.sh	65	41	symbolic-numeric	!=	5	NF != 5	7420a23b1018778adbfe48659bdaff10392675e83fd32a39171115cfb27e4729	"          $4 != ""refine"" || $5 == """" || NF != 5) {"
numeric-88771167df6887bdef7f2165f4da5d3d9f1e399638384b34da2e28d83be9d39c	evaluation/standards-effectiveness/verify-cross-language-contract.sh	69	16	symbolic-numeric	!=	1	count != 1	5f8c1c28fdec738f013dfd598003c218aca6160432da86f8c28737d446375774	    END { exit count != 1 }
numeric-a787bb822ca210a032da6eb16060ff5417242e773ee12e6f54d1b870ff5be167	evaluation/standards-effectiveness/verify-cross-language-contract.sh	100	11	shell-numeric	-eq	2	""")"" -eq 2"	aceadd77cd602b3a75f6293080461277a11e8b9ba4cc3dc9ca3719f824762ad6	"  ""$LEGACY"")"" -eq 2 ]]"
numeric-4b41b904f41591bdff595018b70c4fee122084005ed1fbfde8d9c8c4daadb57e	evaluation/standards-effectiveness/verify-cross-language-contract.sh	103	11	shell-numeric	-eq	3	""")"" -eq 3"	dbd1c4e42716c9a7b199209751aa320632529b2affe19d31f435c1a22b21c268	"  ""$LEGACY"")"" -eq 3 ]]"
numeric-de17fc15314bc8276b29a6fa81308ed964378c5f34d4412fff0d11e05f10989c	evaluation/standards-effectiveness/verify-csharp-async-owner-contract.sh	49	16	symbolic-numeric	>	1	NR > 1	dddc3cd27baeffaa276f17b3bf7e929fa247ffff258f9452ffcf8483c0782118	"  awk -F '\t' 'NR > 1 && $1 == ""STD-0273"" {"
numeric-90b22b8fc07e55a695e453dbea5257133a9e894cf21cd02bb7160e1233612e3a	evaluation/standards-effectiveness/verify-csharp-async-owner-contract.sh	64	16	symbolic-numeric	==	13	$1 == 13	84074031a8d40ccfcff9216a161da9cc548bef5a573e4b5d2ab7005266de2f5f	  awk -F '\t' '$1 == 13 && $2 == 1 {
numeric-8ac35e785fe4c73cba0f24389fff222fcf2ab597b8bc5c905f6ffe8aedae4411	evaluation/standards-effectiveness/verify-csharp-async-owner-contract.sh	64	28	symbolic-numeric	==	1	$2 == 1	84074031a8d40ccfcff9216a161da9cc548bef5a573e4b5d2ab7005266de2f5f	  awk -F '\t' '$1 == 13 && $2 == 1 {
numeric-da03b5244d24325016d55e4d099dc7cb59392468849e4b16d29517747a98cca3	evaluation/standards-effectiveness/verify-dependencies-owner-contract.sh	57	16	symbolic-numeric	>	1	NR > 1	ae2f53095d68e6fbd2abb06a39a6d9f089eaaae022d353aae5febed865fb3cd1	"  awk -F '\t' 'NR > 1 && $1 >= ""STD-0496"" && $1 <= ""STD-0498"" {"
numeric-ff8cc9ce11912128203e3bb67f235bc9055775b468e31f6cf6e75528ba89900e	evaluation/standards-effectiveness/verify-dependencies-owner-contract.sh	64	16	symbolic-numeric	==	14	$1 == 14	a525e02e00155baa7f93c76edd7fe5ed25af3588f9b4d299f6456ed64610ffd2	  awk -F '\t' '$1 == 14 && $2 == 3 {
numeric-a605efff1f6600e91112d4e838d77ce9a37a8e3a231848e692b192c1cf1334a3	evaluation/standards-effectiveness/verify-dependencies-owner-contract.sh	64	28	symbolic-numeric	==	3	$2 == 3	a525e02e00155baa7f93c76edd7fe5ed25af3588f9b4d299f6456ed64610ffd2	  awk -F '\t' '$1 == 14 && $2 == 3 {
numeric-941d345d21796230e3007d2de5b4a0ba24e0b03c024d096c6492d5df689ab970	evaluation/standards-effectiveness/verify-dependencies-owner-contract.sh	71	16	symbolic-numeric	==	16	$1 == 16	51a357398a1f41fe721f3b07c0513f9480202072a4814775e640a9812ee82914	  awk -F '\t' '$1 == 16 {
numeric-4e768bd2422848e2ff5a4fdf9f57d0ef0c850b57bfa3e11a0904b19dde4faf26	evaluation/standards-effectiveness/verify-dependencies-owner-contract.sh	78	16	symbolic-numeric	==	16	$1 == 16	51a357398a1f41fe721f3b07c0513f9480202072a4814775e640a9812ee82914	  awk -F '\t' '$1 == 16 {
numeric-70a9907442fcffc3500549490be15da24b83d9b5840b188266d2128fb81a636e	evaluation/standards-effectiveness/verify-documentation-decisions.sh	29	9	shell-numeric	-eq	0	"""${#profiles[@]}"" -eq 0"	552c92544c190f6527af1b0a35ba93b693833ead997dc60f617b0bf855eba29f	"  if [[ ""${#profiles[@]}"" -eq 0 ]]; then"
numeric-1fdcbb299506c477e82204d004f440b7473b1c7d3f75969ecc402ffdf1737325	evaluation/standards-effectiveness/verify-documentation-directory-readme-closure.sh	25	4	shell-numeric	-eq	13	"""$count"" -eq 13"	a671a17fc162c7942033dd0b281dacbd54d81a7dbc7c940656cf0d2a3c669246	"[[ ""$count"" -eq 13 ]]"
numeric-2d195efdf9eef74f7184c6fee883a7ab93d33ddce0facb1399889419e384edad	evaluation/standards-effectiveness/verify-documentation-index-closure.sh	11	78	shell-numeric	-eq	1	""")"" -eq 1"	cd98d463fd6df8ec6724c35c0a5b85a86e9a1bb9615fea3c7a6349a44365dd3f	"[[ ""$(awk -F '\t' '$1 == ""STD-0349"" { n++ } END { print n+0 }' ""$DISPOSITIONS"")"" -eq 1 ]]"
numeric-9d952c2657dbc89b4de3f5c782549c9e6b08595953a4685c01a465c1674a225c	evaluation/standards-effectiveness/verify-documentation-index-closure.sh	14	36	symbolic-numeric	>	1	NR > 1	3d909b4e9a8047287e4f096179618e1cb0d259b4531540c542e9311c8c9a5a22	"mapfile -t actual < <(awk -F '\t' 'NR > 1 { print $1 }' ""$GAPS"")"
numeric-1b93ae1ca483bd8a4d17af6ab382fd610309a3b359b3a3cff2ab3ec3825be95e	evaluation/standards-effectiveness/verify-documentation-index-closure.sh	16	20	symbolic-numeric	>	1	NR > 1	ae1a64e84420a39decc293c87483075daa2a9996dbbfbaec135f7783ae46acb6	"[[ ""$(awk -F '\t' 'NR > 1 && NF != 3 { n++ } END { print n+0 }' ""$GAPS"")"" -eq 0 ]]"
numeric-91b18b379c4ad83df934513e3d0c2d0bf7af0928564db42d63a8afd80f628762	evaluation/standards-effectiveness/verify-documentation-index-closure.sh	16	30	symbolic-numeric	!=	3	NF != 3	ae1a64e84420a39decc293c87483075daa2a9996dbbfbaec135f7783ae46acb6	"[[ ""$(awk -F '\t' 'NR > 1 && NF != 3 { n++ } END { print n+0 }' ""$GAPS"")"" -eq 0 ]]"
numeric-813d5b668a35d4b64437a3e6db0cbcf06b1c51a8ad0bca36d16ce805f6fcb3ef	evaluation/standards-effectiveness/verify-documentation-index-closure.sh	16	71	shell-numeric	-eq	0	""")"" -eq 0"	ae1a64e84420a39decc293c87483075daa2a9996dbbfbaec135f7783ae46acb6	"[[ ""$(awk -F '\t' 'NR > 1 && NF != 3 { n++ } END { print n+0 }' ""$GAPS"")"" -eq 0 ]]"
numeric-17b108f85a0bfab27c582892405325d354d734aee2626449f1ac7dd16d97f406	evaluation/standards-effectiveness/verify-documentation-policy-consolidation.sh	16	15	symbolic-numeric	>=	350	number >= 350	394534e63b1fc8cadda8f79d24cb2b477bb9c4bc56000eacc1fcd6edad1d9356	      return (number >= 350 && number <= 375) ||
numeric-c4a025d851e8c91f3895f0583e4203908306fa9990b2db1fa06d51910ec59738	evaluation/standards-effectiveness/verify-documentation-policy-consolidation.sh	16	32	symbolic-numeric	<=	375	number <= 375	394534e63b1fc8cadda8f79d24cb2b477bb9c4bc56000eacc1fcd6edad1d9356	      return (number >= 350 && number <= 375) ||
numeric-697225663f03b3aed85ca4bc8f201cdcce886be4e77fb4894e990719497b540e	evaluation/standards-effectiveness/verify-documentation-policy-consolidation.sh	17	10	symbolic-numeric	>=	400	number >= 400	a60d53a864c5e02d74460ca224b0bb0c67171487256094e397dee1b8a1b2d4ff	        (number >= 400 && number <= 420) ||
numeric-0fe6f781d595638d27305d29fc8540c22575061c8b8f46764d58f31005d9f6a4	evaluation/standards-effectiveness/verify-documentation-policy-consolidation.sh	17	27	symbolic-numeric	<=	420	number <= 420	a60d53a864c5e02d74460ca224b0bb0c67171487256094e397dee1b8a1b2d4ff	        (number >= 400 && number <= 420) ||
numeric-974c35d8bbe5a139f40bbea4fb877e97f31ccf713ea3ab3ae4b40cfd7e772f5d	evaluation/standards-effectiveness/verify-documentation-policy-consolidation.sh	18	10	symbolic-numeric	>=	437	number >= 437	acce7a732a8f917a2a8a2e4827e3375db5d1e3f2f9089321653060f5f6383d75	        (number >= 437 && number <= 448)
numeric-4d33b7e8c8a50663841244cf58f33395fe809e6aedafeafc37257fe2b18816da	evaluation/standards-effectiveness/verify-documentation-policy-consolidation.sh	18	27	symbolic-numeric	<=	448	number <= 448	acce7a732a8f917a2a8a2e4827e3375db5d1e3f2f9089321653060f5f6383d75	        (number >= 437 && number <= 448)
numeric-8361a10c999272afaf3d14bbb5575af7156d39e741b82468acb3bed5dae257d2	evaluation/standards-effectiveness/verify-documentation-policy-consolidation.sh	27	15	symbolic-numeric	>=	350	number >= 350	394534e63b1fc8cadda8f79d24cb2b477bb9c4bc56000eacc1fcd6edad1d9356	      return (number >= 350 && number <= 375) ||
numeric-9c2520ee09fe68ba8780208ac3010c0be462c3ea177b8df3a99f2e21a85fb582	evaluation/standards-effectiveness/verify-documentation-policy-consolidation.sh	27	32	symbolic-numeric	<=	375	number <= 375	394534e63b1fc8cadda8f79d24cb2b477bb9c4bc56000eacc1fcd6edad1d9356	      return (number >= 350 && number <= 375) ||
numeric-72185ba798c19faf118ed13e80ad4e391ab139bab3186c539d7ff71af2ae4abc	evaluation/standards-effectiveness/verify-documentation-policy-consolidation.sh	28	10	symbolic-numeric	>=	400	number >= 400	a60d53a864c5e02d74460ca224b0bb0c67171487256094e397dee1b8a1b2d4ff	        (number >= 400 && number <= 420) ||
numeric-4df8bbab46ab5580e8c79caf6a46b3941b92bb28dded7c1431fcd6692558aea8	evaluation/standards-effectiveness/verify-documentation-policy-consolidation.sh	28	27	symbolic-numeric	<=	420	number <= 420	a60d53a864c5e02d74460ca224b0bb0c67171487256094e397dee1b8a1b2d4ff	        (number >= 400 && number <= 420) ||
numeric-0e5770f652b258289736c08c81e7717c673dcf70af230a6aa7e895352915353b	evaluation/standards-effectiveness/verify-documentation-policy-consolidation.sh	29	10	symbolic-numeric	>=	437	number >= 437	acce7a732a8f917a2a8a2e4827e3375db5d1e3f2f9089321653060f5f6383d75	        (number >= 437 && number <= 448)
numeric-49489e18915c52eaec6f865c75bfb68b8a0bf717eac33572852006829ef70853	evaluation/standards-effectiveness/verify-documentation-policy-consolidation.sh	29	27	symbolic-numeric	<=	448	number <= 448	acce7a732a8f917a2a8a2e4827e3375db5d1e3f2f9089321653060f5f6383d75	        (number >= 437 && number <= 448)
numeric-99d2ffb038fcb5d74a9a8065af6df88f0c9c5894aa520bdbf77e4c1500bd3798	evaluation/standards-effectiveness/verify-documentation-policy-consolidation.sh	31	5	symbolic-numeric	>	1	NR > 1	ac1fc85f2d73916c1b8ee494b11ccf82f966d27c0810418e96bedc7892faf723	    NR > 1 &&
numeric-5d19eb00d2dfe547e4fa9ef12e8f84910e31d9d375e6bf75e56054c78822add8	evaluation/standards-effectiveness/verify-documentation-policy-consolidation.sh	37	7	shell-numeric	-ne	59	"""${#expected_ids[@]}"" -ne 59"	2b8f9531b437901a5755383bcc6b36881e277b770d0b370b238402f379732bbf	"if [[ ""${#expected_ids[@]}"" -ne 59 ||"
numeric-54b6d26f81aa8d76518ee75bc451e896ab030926010d86189f7158eab5f87f75	evaluation/standards-effectiveness/verify-documentation-policy-consolidation.sh	53	12	symbolic-numeric	>=	350	number >= 350	edf5ff4ae2ec444584281657c8ecf8d6f0326fdbd2ce11fb3cb1d5f169a65bba	  if ! (( (number >= 350 && number <= 375) ||
numeric-cd19e023aec8fc10e03915943bbcf57c017590a9dc8e9a4136d775172ad72687	evaluation/standards-effectiveness/verify-documentation-policy-consolidation.sh	53	29	symbolic-numeric	<=	375	number <= 375	edf5ff4ae2ec444584281657c8ecf8d6f0326fdbd2ce11fb3cb1d5f169a65bba	  if ! (( (number >= 350 && number <= 375) ||
numeric-1d13a6f4f2d678f9f03abacd1a61e304aca4109023b8b06601f3d714d53d5eac	evaluation/standards-effectiveness/verify-documentation-policy-consolidation.sh	54	12	symbolic-numeric	>=	400	number >= 400	3a94eb880220a02e416addfcc718bed43fa37c3599d95c0ace97c8f3903e606c	          (number >= 400 && number <= 420) ||
numeric-3c0348dd37aafde0fb1782b94217a99705741ac4d1eb2a0ccc61148a93c51048	evaluation/standards-effectiveness/verify-documentation-policy-consolidation.sh	54	29	symbolic-numeric	<=	420	number <= 420	3a94eb880220a02e416addfcc718bed43fa37c3599d95c0ace97c8f3903e606c	          (number >= 400 && number <= 420) ||
numeric-9eebc16b342510e7bf1af8401746a803c51fd5ab3424858ce0d917cc6f6fc4dd	evaluation/standards-effectiveness/verify-documentation-policy-consolidation.sh	55	12	symbolic-numeric	>=	437	number >= 437	c437d405744907136a7ab0bf09361fcc99d240ac549b609caaceba0c4f00892c	          (number >= 437 && number <= 448) )); then
numeric-87f3483ba05da6bdeabf72739a14d8c55490d320ec1dcbdb1cff06161c22343e	evaluation/standards-effectiveness/verify-documentation-policy-consolidation.sh	55	29	symbolic-numeric	<=	448	number <= 448	c437d405744907136a7ab0bf09361fcc99d240ac549b609caaceba0c4f00892c	          (number >= 437 && number <= 448) )); then
numeric-ec3a15eb50478f7fc227f38c2f82b987093b48084896155b1ffc6b6e1888a1e9	evaluation/standards-effectiveness/verify-errexit-zero-accumulation.sh	30	27	shell-numeric	-eq	0	s -eq 0	0f9acc680aa900e070e498078657c85136c4d193894b9c623ec8063aef917d32	    '%s=0; %s=0; %s; [[ $%s -eq 0 ]]' \
numeric-99a49fc0cb53852155637d02e7f75d3862ab57d4b5a5f1fa3ea2f87dbad9faa0	evaluation/standards-effectiveness/verify-errexit-zero-accumulation.sh	36	4	shell-numeric	-eq	1	"""$count"" -eq 1"	b102a5ad33e2e566f28363a0365e080be9ba44033a095cf0be54143acbec8dbc	"[[ ""$count"" -eq 1 ]]"
numeric-2944561f850bb59b732ab606656879dfae2b81c6cad12cb0dc9c87d4cd4c3733	evaluation/standards-effectiveness/verify-filesystem-containment-policy.sh	63	5	symbolic-numeric	>	1	NR > 1	ac1fc85f2d73916c1b8ee494b11ccf82f966d27c0810418e96bedc7892faf723	    NR > 1 &&
