legacy_edge_id	derived_edge_id	owner	consumer	relation	applicability	evidence_owner	disposition
policy.planning.full-review-suite	policy-impact:v1/workflow.planning/enforcement-suite-projection/full-review-prompt-entrypoint	workflow.planning	full-review-prompt-entrypoint	enforcement-suite-projection	always	suite:full-review-prompt-entrypoint	compile
policy.planning.implementation-entrypoint-suite	policy-impact:v1/workflow.planning/enforcement-suite-projection/plan-implementation-entrypoint	workflow.planning	plan-implementation-entrypoint	enforcement-suite-projection	always	suite:plan-implementation-entrypoint	compile
policy.planning.template-suite	policy-impact:v1/workflow.planning/enforcement-suite-projection/plan-template-projection	workflow.planning	plan-template-projection	enforcement-suite-projection	always	suite:plan-template-projection	compile
policy.planning.admission-suite	policy-impact:v1/workflow.planning/enforcement-suite-projection/planning-admission	workflow.planning	planning-admission	enforcement-suite-projection	always	suite:planning-admission	compile
policy.planning.consolidation-suite	policy-impact:v1/workflow.planning/enforcement-suite-projection/planning-consolidation	workflow.planning	planning-consolidation	enforcement-suite-projection	always	suite:planning-consolidation	compile
policy.planning.policy-impact-suite	policy-impact:v1/workflow.planning/enforcement-suite-projection/policy-semantic-impact	workflow.planning	policy-semantic-impact	enforcement-suite-projection	always	suite:policy-semantic-impact	compile
policy.planning.s1-routing-suite	policy-impact:v1/workflow.planning/enforcement-suite-projection/s1-routing	workflow.planning	s1-routing	enforcement-suite-projection	always	suite:s1-routing	compile
policy.planning.concurrent-profile	policy-impact:v1/workflow.planning/normative-consumer/profile.workflow.concurrent-plan-integration	workflow.planning	profile.workflow.concurrent-plan-integration	normative-consumer	always	suite:concurrent-plan-integration	compile
policy.planning.full-review-prompt	policy-impact:v1/workflow.planning/prompt-projection/prompts%2Ffull-codebase-standards-refactor.md	workflow.planning	prompts/full-codebase-standards-refactor.md	prompt-projection	always	suite:full-review-prompt-entrypoint	compile
policy.planning.implementation-prompt	policy-impact:v1/workflow.planning/prompt-projection/prompts%2Fimplement-plan.md	workflow.planning	prompts/implement-plan.md	prompt-projection	always	suite:plan-implementation-entrypoint	compile
policy.planning.planning-prompt	policy-impact:v1/workflow.planning/prompt-projection/prompts%2Fplanning.md	workflow.planning	prompts/planning.md	prompt-projection	always	suite:planning-consolidation	compile
policy.planning.plan-template	policy-impact:v1/workflow.planning/template-projection/templates%2FPLAN-TEMPLATE.md	workflow.planning	templates/PLAN-TEMPLATE.md	template-projection	always	suite:plan-template-projection	compile
policy.planning.commit-workflow	policy-impact:v1/workflow.planning/normative-consumer/workflow.commit	workflow.planning	workflow.commit	normative-consumer	always	suite:planning-consolidation	compile
policy.planning.implementation-workflow	policy-impact:v1/workflow.planning/normative-consumer/workflow.implementation	workflow.planning	workflow.implementation	normative-consumer	always	suite:planning-admission	compile
policy.commit.router	policy-impact:v1/workflow.commit/router-projection/router	workflow.commit	router	router-projection	always	suite:commit-consolidation-dispositions	compile
policy.commit.implementation-workflow	policy-impact:v1/workflow.commit/normative-consumer/workflow.implementation	workflow.commit	workflow.implementation	normative-consumer	always	suite:commit-consolidation-dispositions	compile
policy.commit.planning-workflow	policy-impact:v1/workflow.commit/normative-consumer/workflow.planning	workflow.commit	workflow.planning	normative-consumer	always	suite:commit-consolidation-dispositions	compile
policy.commit.concurrent-profile	policy-impact:v1/workflow.commit/normative-consumer/profile.workflow.concurrent-plan-integration	workflow.commit	profile.workflow.concurrent-plan-integration	normative-consumer	always	suite:concurrent-plan-integration	compile
policy.commit.release-workflow	policy-impact:v1/workflow.commit/normative-consumer/workflow.release	workflow.commit	workflow.release	normative-consumer	always	suite:release-maintenance-policy	compile
policy.commit.planning-prompt	policy-impact:v1/workflow.commit/prompt-projection/prompts%2Fplanning.md	workflow.commit	prompts/planning.md	prompt-projection	always	suite:commit-consolidation-dispositions	compile
policy.commit.implementation-prompt	policy-impact:v1/workflow.commit/prompt-projection/prompts%2Fimplement-plan.md	workflow.commit	prompts/implement-plan.md	prompt-projection	always	suite:commit-consolidation-dispositions	compile
policy.commit.plan-template	policy-impact:v1/workflow.commit/template-projection/templates%2FPLAN-TEMPLATE.md	workflow.commit	templates/PLAN-TEMPLATE.md	template-projection	always	suite:commit-consolidation-dispositions	compile
policy.commit.reference-recipe	policy-impact:v1/workflow.commit/reference-projection/reference.recipes.commits	workflow.commit	reference.recipes.commits	reference-projection	always	suite:commit-consolidation-dispositions	compile
policy.commit.authority-fixture	policy-impact:v1/workflow.commit/fixture-projection/evaluation%2Fstandards-effectiveness%2Ffixtures%2Fcommit%2Fauthority.tsv	workflow.commit	evaluation/standards-effectiveness/fixtures/commit/authority.tsv	fixture-projection	always	suite:commit-consolidation-dispositions	compile
policy.commit.hook-bypass-fixture	policy-impact:v1/workflow.commit/fixture-projection/evaluation%2Fstandards-effectiveness%2Ffixtures%2Fcommit%2Fhook-bypass.tsv	workflow.commit	evaluation/standards-effectiveness/fixtures/commit/hook-bypass.tsv	fixture-projection	always	suite:commit-consolidation-dispositions	compile
policy.commit.branch-lifecycle-fixture	policy-impact:v1/workflow.commit/fixture-projection/evaluation%2Fstandards-effectiveness%2Ffixtures%2Fcommit%2Fbranch-lifecycle.tsv	workflow.commit	evaluation/standards-effectiveness/fixtures/commit/branch-lifecycle.tsv	fixture-projection	always	suite:commit-consolidation-dispositions	compile
policy.commit.task-worktree-terminal-fixture	policy-impact:v1/workflow.commit/fixture-projection/evaluation%2Fstandards-effectiveness%2Ffixtures%2Fcommit%2Ftask-worktree-terminal.tsv	workflow.commit	evaluation/standards-effectiveness/fixtures/commit/task-worktree-terminal.tsv	fixture-projection	always	suite:commit-consolidation-dispositions	compile
policy.commit.enforcement-suite	policy-impact:v1/workflow.commit/enforcement-suite-projection/commit-consolidation-dispositions	workflow.commit	commit-consolidation-dispositions	enforcement-suite-projection	always	suite:commit-consolidation-dispositions	compile
policy.commit.evaluation-documentation	policy-impact:v1/workflow.commit/documentation-projection/evaluation%2Fstandards-effectiveness%2FREADME.md	workflow.commit	evaluation/standards-effectiveness/README.md	documentation-projection	always	suite:commit-consolidation-dispositions	compile
