original_commit	replacement_commit	tree	subject
9e2c641035a803dd04703798ff17df4f702d01ad	0382a9713fc748e87068d0dd53d3abae62b9e5ee	1d86d580b7687d25157e7f40e65d2de754c175cb	docs: admit policy-impact acceptance recovery
9eb25f15c22b3c0f6e424246f2ca5e891026d28d	29e21eb597a089aadee5b821e87e0698b367ba5a	fcdc640a3f695052f5c020797eb08fc0ddc057db	plan: admit policy-impact acceptance recovery
879c29899a764a7c000542a4f256ce70718656d6	ba01790580de476b9a4b7e8155cbe99c874fc75b	bae195b37e07c39e28af7773365b20c65dfa9870	plan: start policy-impact acceptance recovery
7bc8bd070f882eb9779dc678139777d05a6ce7c7	22ee280aac9cc3528077f255cfd1255a43d1663f	35a22f824f7ed5f50347032b956b2108fc073f77	fix: recover policy-impact authority acceptance
bf9f3d86c8109532f7846ce2f6e547ab155bb200	e9898821803545f10c3f32598b7d6b5f02f272b1	5a877289fbc388e9bacfc77746a42ef85d0fb363	docs: accept policy-impact recovery prerequisite
dd571976068916f2f95d89c55c8824a20b92acb2	30e79f84337557fcdb15d0197ff1e3c746aedcfc	15e482de3334137f14a55bf2c22e2560188dd647	plan: accept policy-impact authority prerequisite
e3334667e45829394ae8099ae1d886b196f07c7b	6586fe36308dbf31e4ef752d3c6779e2d822ae1f	3ec9cd8d925d84feb64e515204a822601ea16679	docs(planning): compact standards recovery authority
487847b0200cd3c2ea925665b60b2eab557225fe	36fc24e67f08f51a48feef5c3d8c96b0b762d467	624e285ebdc4430b59511fb02b1ebb61d8c6cdd3	docs(planning): correct recovery resume authority
b5dd44335e1ac506f1d9e2e298d3a63d4f35614c	546ea74371191f9f4434927b9da5c79c973f1e02	c2c03737e626499587dccebdf070c9238dafbb01	docs(review): admit standards recovery resume
6c577800b3e6c56c666c95e9404914114e45be2b	d66d02a2478a4d7a4737f5108f1449dc71b8c768	88efd0c03423de9ccac318977e0d0dca529df6f2	docs(planning): admit standards recovery resume
3fa59052960a85c2b85930a156d2061f91a89cfc	08664ae73c989e304f77ff0168208cbe86f63d29	d72c2a871bc94b08bdb4417c11c3fddb85eb5f57	docs(planning): start standards recovery reconciliation
7f533f59ddd0120a08c36e85f1c631eedbbe0caa	6feca6096ea395e475ab90cd6c1e7f7e19b5568f	70f2ec4f249ae6eb6774a17443b15943f57bdfec	docs(recovery): reconcile standards authority
82881a2e3b811be199d16e5110a85dbd5432d4d7	93af42c871b6192aaaffc792ac614d925e2ea94f	af9eba1ba718e75a64ad475b406c365651e29aa9	docs(recovery): freeze milestone one boundary
f037ab11c6bdcda8b61a64c5aa1932e86570096b	74573e8e2e40e1590d478b1f593bf9af96f1e42b	212206c6aeb60830c3bed5df392358ff953590a2	docs(recovery): start final coverage
3b2ffe39851ef6b5e8b51b4c5ead1e68292e40d0	5f338e901085da2257b7b3e3b1a431f306a7e2cf	e227648595028591dc1fefa7f5ac3f40d5fbf5e4	docs(recovery): record final coverage candidate
aef1843088b18761b9d1c97e7c05f45e622f6033	3e669ea2a91dbba1c1739b2678a30270133750db	044c0ef57475bd23bf6a4c7d5e9d03fb27832283	docs(recovery): correct candidate lifecycle authority
3ab8201a6dd925954e15b93583f1b227dad63987	9533b181cf434ef704a26b767d1d70b78c0ee6d9	f5abaa1f90fcec41d72f084349f1b0be3226a46b	docs(recovery): start renewed candidate verification
9f69d6de5aaa81f57715aa10e0140ff0f08139dc	c221dd2643ef6f141dfa2e5a2a3c8dc8dddf5f7a	3295c811c609545146a4bc9ac2ccd8f4931d8f2c	docs(recovery): replan current authority narration
be4c6579a525800721f9ba4e3cf727b30d0c05f1	56716bef147cdd1c98b226c9e6628701ba1857f4	c810ea9fb1b0d010d2fd91c5b9ee92a5a05658fa	docs(recovery): complete current authority correction
7a54d5fe7778f481278e4f21a12863d2f261b280	a14b82efc194c27ebbe48cf147eec718ac97074a	35823701b4ea400371c0de196e3b18d7dcaa834d	docs(recovery): start exact candidate verification
6cebe51e354f9691aa5122aa01c7f7c2215161e4	76f2fab4538030f2425590529b6505db6cb9d899	96589746ce9e5138a3314dc2e81fc2d710963ed0	docs(recovery): replan semantic oracle closure
78a7f3f252040e7ccbf9c289a9a4c91ecdf8859b	64dc0b90b2834e80583c372198968df153bdccc7	33518ebf9e74da72fde7758cb143e6b219a69467	docs(recovery): correct semantic oracle admission
86b94811e4a2c5d30ab79e41a864b67b1fc7b96f	67f67b2491484f1ca0e6a230312c051031e01978	371ea74b60fef144d47d43cc38daaf3ad5f7faaa	docs(recovery): remove superseded oracle claims
738a69952bd8682c07f723d7ec8d537ad5eadfe2	5f2edbaa9d78946812c6cffe49ba124c47468ff2	8097be783e3bff5470640c433fa8def3e4749369	docs(recovery): admit semantic oracle correction
c73df46be07ee8656bcbcd27623d933661c1bf6e	428f5f44b54cc1c14a81fe3da9fa5847532e97da	567d93437f6916725d75681778f549dfe7945676	docs(recovery): plan semantic oracle start
bb5ac1a4f7cea937c17af5d7885ebffd20176210	59af89918464dc378b19eb85fb00e43bcac52135	92de584e590d128ed998165b560bdcd0dee7d168	docs(recovery): start semantic oracle correction
c6fc663bdd1b78acdc31ce082b02dae4a5c9d677	4a7b555c6c230422953ca9a9220b9493edd661bc	0123db9c299794cacd5a1cff52a20f2244d37b94	test(engine): assert exact semantic cause sets
8bd77f93655d53d83cee2135282c09f4cfba1e92	27890875201434742b05834d00402ff45dfac06a	3e95e3c6daf3b9d8b687a84838974df152445eb7	docs(recovery): reconcile semantic oracle implementation
34bb35aebc0ea330f6d24d27b59768efaca00499	745823a8c27d8e5c3edc50699d4188bf4b4b4616	0826ae5e6a754e2f458d4edad0aa8972d21f01c2	docs(recovery): record verified semantic oracle boundary
2419316a8c2c9b8fe212fc62170dadf3898d31c4	12606e665b4e2809923168f117ce3cb5dea21b82	751e606733f28094ba15188c016fdd4774f55b80	docs(recovery): start replacement candidate verification
a166e36f6f0c8d4d0620c98666027462e62a7b80	8106078859336de49ce5fcb566c8f770f53b232d	8e2c3421105b22e54de12a73f7b6b6e48b18869d	docs(recovery): remove superseded plan history
238ff4e3f8e086de8acd80a12435977dac8d79d8	c31a665eaa8b61799824ed4e5a22aad36ddb7a52	184f54acc8af98ed38be5c772c41f142b66c64b1	docs(recovery): accept standards recovery candidate
c4408363752b10060f631247f3e2f1fa26eae003	c9cf014d91f42d56c9bf6f0324144606fb238b09	84477150bd368a168dd04da3770de55c23bbb817	docs(recovery): complete standards recovery
f41037bf71deddba36056b27d418fe767a7cfb62	8a53e500dee0efb59f02b6a4d67c289c051714b7	042f97101d50df79dcac0b029aa1b9324cf8b881	docs(a1b): define contract and authority plan
44de7dff9c83f08b24225c82ad1b6a974f6655a9	d15064e727fb62debfb3eb4aff50626ee3f24558	24925cfce1d87f69bfde78d9f060eddae6963308	plan: replace A1b contract and authority design
ecdf5a55588d18d068a513d910959ccbd9c65f71	0e7a30c718b6559d650e18f95bcff286d9c043f6	ec19cb2c02a67f96229176302d5dbcd3f4964022	plan: close A1b registration and import boundaries
c2aea75c85800aec6ac00fcc3b2690f8629845ab	bbea50d65fba3d0c8dd9aed9b9c1cff86164f4d2	19074828c41ac1c2d8814578f08604106112ad1c	plan: close A1b public import migration
ebc75340781bf032164d93817edca7c5a04ba892	9005c3479832603c43ad38e8e8f00c013d46bd74	389b6134b1971ea4b290c041b9508cdf22439e02	plan: close A1b admission dependencies
b92ed7828982723d0118294ea1a09f30001ad25e	84c11c977e8de8965603fc7739cb3975ed3d9d76	125b53038737628af82271a2eee6ec29aa8b6bf6	plan: close A1b C3 admission findings
396144ad9a75c948484d1e564fab73c857bd6f4d	22846da5214282c7cea41a28bb96b5b839d1dbbe	288f20f601d64a9e1ff7128211e5898a7ff25fac	docs(standards): scope contract authority and versions
4f69f9940b806ca602f44dab7aa00c1df4db8abd	487c71f6a4b52b84748656a9bd77e8c67fee893e	88f963e33240415e891182a7e3891db4386e87f3	plan: derive A1b execution authority structurally
9794b92708aad42c4838f9ad5c6b78e3984d73b3	e07bfb40e91e5eeafa53bd080b21e336af23350f	0f7bc73dcaf6c7cacf348c6f8de50ff5f41928c5	docs(standards): revise A1b authority closure plan
d06c819bca5f29583c425dd49cd869842ad7d75f	bf3b20265d2c758633c21984332d72b3c1c2ceca	91a66d55628ccf0791f7f3c632e7ca81e046eb6d	plan: remove A1b commit-topology protocol
1d18b70d99db48317de2cc9243fc06b133d7329a	16520407e1acc77aca752a524246837f8b8278b1	3fce22cb8f556e6f026cd073233ff0268e88c42d	docs(standards): keep Git topology out of plans
748d30f778ba04ddbf33e3b82fb8031cf947c815	10f1b0b0bfd4f90fd7e298c3b157491e67c6984a	e581dc5b17079f230ebf9df8aa0dc94e003aa95b	plan: replace A1b C6 with C7 authority design
ac362dc5f6ca2ac51c9b593cecde3639f4a883fb	953c66e9c4bad35dd1ae18506ece1e83b95f5a2d	88d6f49805fbe0f9e328b1dc9e9981afe11efbdf	plan: close C7 authority contracts
ee7f2a47b5497112f3c8ce81c1ed45de3921bab9	2e8e22ba9cafa2d0f5bcf4c42d81b46e676998c9	6277f388e92e5b9fcc729745e73b6fbda5c9a6d8	plan: close C7 typed authority contracts
36dd75790b2f08a6e66624ccae4f8530bc111a92	54979efecba0251f2ea344a49efffab5ebe8a3e4	19e1b0f329c3d83988a703775309ebcc0fe8d4b0	plan: simplify C7 operation authority
ecc2a321fb4ae4288b125f817b1fd368b3ad01ab	6ba3dcbb88479e1738256b885b4122c541b04a2d	cba71d25c6a3772113a04ad9705f8edbc66ab48e	feat(standards): establish A1b identity foundation
a3f5312d9c06b884980596088e81f73a39d26075	d2308d9e1ba25ddc92493937c3a4babd735533ef	160dfcd6cca592e08a66344bc9c9b093db72a2ce	feat(standards): compile A1b public contracts
eee83026ca72bed95beaa447f9530e275434993a	7a5a280cf6ac622d34bae940d8cef21fe965c1f1	b5471cc254c17eb72b0ba7300e0b9149640dabcc	fix(standards): remove identity integer limit
45163746822e8881347e922f36e12ab067223cd5	c90092c8fdc844846b8b88bda1895c48fac23466	2ddb667e3f25779e61d26954a98a3fc607a1fbc3	feat(standards): persist immutable A1b authority
d61172168101744a83f708e1da73bd3eb956ce1d	b7d60182bc68c8d76a7788f2f1646003c6db6751	8fd3b6fd9370a38952c115190069b6a288f77f2f	feat(standards): complete A1b v11 authority cutover
3da674c1227a8ff6544e846a252a21a255854f49	609c84fcde79e71cc3df2dffa61f8a426a762e3f	63d55780f77c7f1af64762b6363b8ba776e7fd51	fix(standards): complete A1b content-review corrections
c07ca3f03a386f93ddd142cfe19ef15360d35711	34b97932300743fa42334e58f83429d08730cafe	687836ed111f7fa5a4371024d686ed312d10aa50	docs(standards): record A1b implementation candidate
ead04bc55c6cb43b0be66d31371d9fc909c3355c	2c708acb3fb638e2259191d88934c27c65a30977	3a5f623c0891a1dd744f4a9280f9f31f6d2ae811	fix(standards-engine): close C7 authority boundaries
8b8a4b481d4e330e118f879a862d2a3630c85f84	eed7a1d9a88a3f451290ef0b51e9224c9c4ed125	3435dd4e7cd5784913389f53fb90d6fbb06b73d7	feat(standards-engine): complete C7 authority cutover
23706513c65185f5a8204ffa1c4e8be2c74f1729	602fbd2266cf75b338b35972b5fa45f8996c857e	1de23986a1f4e577d650e0f103c59da1265054c7	fix(standards-engine): close A1b binding and Git authority
88f93a33e490373fd32106d163795d21d0bd3eb7	2ba61f41f458a59c25ca8f1cfb197cd0662319be	69b7cc8f2222cc766b1885ac70187cc0e77fea73	fix(standards-engine): close A1b reachability authority
e955c39e46397babf74f4fc7407606fe17a223ef	b76495620e7f9599ac6d3e45a342fc81ee355853	bcdea6e70609314c1d16dbaea8ca887692d806f4	docs(standards-engine): record A1b branch-state replan
84412f22fa9fe082f089eaa347c30c23f185ffee	c778168c4a148a3267982e86f777879469dee98c	8e0f96a61fcea2398418b17d16a061c20f7463f5	fix(standards-engine): join governed branch state
580d9c959b22f3fdeb0898e7fd4aafd168893580	3f97c9dc591d390a6b3b88bc1cbf70f9e6aaed51	419eced28d28765bee6fa0ce4aedcd95256804fe	docs(standards-engine): accept A1b implementation
351e78524b13d8a749fb4151eee406c24589aa2d	b699c1bdcdd09c63a079bfec1178158ed134acc8	3e91fbc34800ecbf6f976cd7aad303a158757a75	docs(audit): record A1 and A1b design evidence
ac418826eb98c7facd2a29ef7463dcb384df731b	4fb66ccf696b4e946cf43bd58ff9424ce6976dc3	f3281bc42b0842bcf5ef689f968f17e38e5d34c5	docs(plan): design proportional standards revision
ae839958a72bdd021224f1aea3c7bede06ccac8e	1746b92a63099cca5eb1163c3246ccf6c806d485	77ecaa3871d151065e54e228c71b5aa4956ec904	docs(plan): accept proportionality admission
65826e4a0fe86ae79dee563fd36cb20600f1312f	a53a319aa98f29a215cb79d4f0bffdc8312b2dcd	7b7c47e8802ad65f6f788fbded09507aa273891a	docs(plan): complete simplicity slice admission
3d0a0926336ea78837979e4343f7a46c0cf8c44f	78a4414f5d1cc0a7b6badc9d2dd874e50563adf8	04f530ccf672bb6ddc3c69afc1a536b56fc4f373	docs(standards): admit composed simplicity
befab13354778444cd76fd686e229c6bc1178862	f526e69bdc6f40ac61f86eefd3d496fc4543984d	a59135f6e46f6dbd94539cc16d69fb8177a5be19	refactor(standards): localize composed-design ownership
