accepted_source	accepted_relation	accepted_consumer	accepted_declaration_source	accepted_fingerprint	proposed_source	proposed_relation	proposed_consumer	proposed_declaration_source	proposed_fingerprint	disposition
					profile.boundary.generated-contract.semantic-closure	implementation-projection	tools/standards_contracts/standards_contracts/compiler.py	evaluation/standards-effectiveness/policy-impact/profile.boundary.generated-contract.toml	sha256:cac988879266705266b66a7bd6a6e298fa1dc759cc1b16253895a0dedc563518	add
profile.boundary.generated-contract.semantic-closure	implementation-projection	tools/standards_engine/contracts/a1-contract.schema.json	evaluation/standards-effectiveness/policy-impact/profile.boundary.generated-contract.toml	sha256:4a3640aed849d541f8e8b63da0c91e8a8c08799711d93b1d9bc28bcd69a6772e	profile.boundary.generated-contract.semantic-closure	implementation-projection	tools/standards_engine/contracts/a1-contract.schema.json	evaluation/standards-effectiveness/policy-impact/profile.boundary.generated-contract.toml	sha256:4a3640aed849d541f8e8b63da0c91e8a8c08799711d93b1d9bc28bcd69a6772e	retain
					profile.boundary.generated-contract.semantic-closure	implementation-projection	tools/standards_engine/contracts/a1-interface.toml	evaluation/standards-effectiveness/policy-impact/profile.boundary.generated-contract.toml	sha256:8ed16c8e1328644ac7bb5328a7225c5826b3712216ac4b4a1b3ffdc39bdb07e5	add
profile.boundary.generated-contract.semantic-closure	implementation-projection	tools/standards_engine/contracts/generate_contract.py	evaluation/standards-effectiveness/policy-impact/profile.boundary.generated-contract.toml	sha256:8c3db8f59993b5679b2bd926d5bc807f7d24621e4d28db43ebea50f76f90a153	profile.boundary.generated-contract.semantic-closure	implementation-projection	tools/standards_contracts/standards_contracts/projection.py	evaluation/standards-effectiveness/policy-impact/profile.boundary.generated-contract.toml	sha256:6f8f8d6c2dbdc04e17aa14ba2387bd69799af2ed2f071a82132c08d02f0f7bd4	replace
					profile.boundary.generated-contract.semantic-closure	implementation-projection	tools/standards_engine/contracts/generated/agent-tools.json	evaluation/standards-effectiveness/policy-impact/profile.boundary.generated-contract.toml	sha256:46b7eee4c46e6d1e8350a298c27123037e28895c268f00a299d18948f4d2d0f0	add
profile.boundary.generated-contract.semantic-closure	implementation-projection	tools/standards_engine/standards_engine/_generated_contract.py	evaluation/standards-effectiveness/policy-impact/profile.boundary.generated-contract.toml	sha256:0c1150dd2ff2f2559073b5842f72ea48d01dec902671ef96406410b7c88d95d7	profile.boundary.generated-contract.semantic-closure	implementation-projection	tools/standards_engine/standards_engine/_generated_contract.py	evaluation/standards-effectiveness/policy-impact/profile.boundary.generated-contract.toml	sha256:0c1150dd2ff2f2559073b5842f72ea48d01dec902671ef96406410b7c88d95d7	retain
profile.boundary.generated-contract.semantic-closure	implementation-projection	tools/standards_engine/standards_engine/tools.py	evaluation/standards-effectiveness/policy-impact/profile.boundary.generated-contract.toml	sha256:04aef8eff6e2c8769c3a5b08bdc63ab104917b2abbd94a0da0874e5526857cc8	profile.boundary.generated-contract.semantic-closure	implementation-projection	tools/standards_engine/standards_engine/tools.py	evaluation/standards-effectiveness/policy-impact/profile.boundary.generated-contract.toml	sha256:04aef8eff6e2c8769c3a5b08bdc63ab104917b2abbd94a0da0874e5526857cc8	retain
profile.boundary.generated-contract.semantic-closure	normative-consumer	topic.contracts	evaluation/standards-effectiveness/policy-impact/profile.boundary.generated-contract.toml	sha256:eaa16b9ae5d860162a89c60e4d5c73a5a8064be432494a17cf239b88ff02816d	profile.boundary.generated-contract.semantic-closure	normative-consumer	topic.contracts	evaluation/standards-effectiveness/policy-impact/profile.boundary.generated-contract.toml	sha256:eaa16b9ae5d860162a89c60e4d5c73a5a8064be432494a17cf239b88ff02816d	retain
profile.boundary.generated-contract.semantic-closure	normative-consumer	topic.dependencies	evaluation/standards-effectiveness/policy-impact/profile.boundary.generated-contract.toml	sha256:3ff7ff2c0d38792276e35014fe80370e20cdcd5573df3ddb703dd8dc7854131b	profile.boundary.generated-contract.semantic-closure	normative-consumer	topic.dependencies	evaluation/standards-effectiveness/policy-impact/profile.boundary.generated-contract.toml	sha256:3ff7ff2c0d38792276e35014fe80370e20cdcd5573df3ddb703dd8dc7854131b	retain
profile.boundary.generated-contract.semantic-closure	normative-consumer	workflow.build	evaluation/standards-effectiveness/policy-impact/profile.boundary.generated-contract.toml	sha256:c5134be86baf002b52c801105105adeb3e8d7ed2167804ad84170ec85f1d22f5	profile.boundary.generated-contract.semantic-closure	normative-consumer	workflow.build	evaluation/standards-effectiveness/policy-impact/profile.boundary.generated-contract.toml	sha256:c5134be86baf002b52c801105105adeb3e8d7ed2167804ad84170ec85f1d22f5	retain
profile.boundary.generated-contract.semantic-closure	normative-consumer	workflow.verification	evaluation/standards-effectiveness/policy-impact/profile.boundary.generated-contract.toml	sha256:2e15dbc3b44f6651ac05ec51904f498a65706c5b7a7062abeb81fc1f9f06c4c5	profile.boundary.generated-contract.semantic-closure	normative-consumer	workflow.verification	evaluation/standards-effectiveness/policy-impact/profile.boundary.generated-contract.toml	sha256:2e15dbc3b44f6651ac05ec51904f498a65706c5b7a7062abeb81fc1f9f06c4c5	retain
router.generated-contract-profile-applicability	enforcement-suite-projection	standards-recovery-routing	evaluation/standards-effectiveness/policy-impact/router.toml	sha256:722139577c19eb2d8427c19b998edd2ad56308caf72e5500340eaf715f4c0165	router.generated-contract-profile-applicability	enforcement-suite-projection	standards-recovery-routing	evaluation/standards-effectiveness/policy-impact/router.toml	sha256:722139577c19eb2d8427c19b998edd2ad56308caf72e5500340eaf715f4c0165	retain
router.generated-contract-profile-applicability	fixture-projection	evaluation/standards-effectiveness/fixtures/routing/generated-contract-decisions.tsv	evaluation/standards-effectiveness/policy-impact/router.toml	sha256:d2cad879b9466fa6b85beb7c205d3a4044ac1f799a8b8d2947951841497a1aaa	router.generated-contract-profile-applicability	fixture-projection	evaluation/standards-effectiveness/fixtures/routing/generated-contract-decisions.tsv	evaluation/standards-effectiveness/policy-impact/router.toml	sha256:d2cad879b9466fa6b85beb7c205d3a4044ac1f799a8b8d2947951841497a1aaa	retain
router.generated-contract-profile-applicability	fixture-projection	evaluation/standards-effectiveness/fixtures/routing/generated-contract-routes.tsv	evaluation/standards-effectiveness/policy-impact/router.toml	sha256:18bd544900793bf8a9a43e08dbd9645a54a232c03527a3c8e3f7f6f2fde431b8	router.generated-contract-profile-applicability	fixture-projection	evaluation/standards-effectiveness/fixtures/routing/generated-contract-routes.tsv	evaluation/standards-effectiveness/policy-impact/router.toml	sha256:18bd544900793bf8a9a43e08dbd9645a54a232c03527a3c8e3f7f6f2fde431b8	retain
router.generated-contract-profile-applicability	normative-consumer	profile.boundary.generated-contract	evaluation/standards-effectiveness/policy-impact/router.toml	sha256:b4d9514001fd43ff0569d80af2029190c5391b00d4e1357ce078975eb68b6823	router.generated-contract-profile-applicability	normative-consumer	profile.boundary.generated-contract	evaluation/standards-effectiveness/policy-impact/router.toml	sha256:b4d9514001fd43ff0569d80af2029190c5391b00d4e1357ce078975eb68b6823	retain
router.generated-contract-profile-applicability	prompt-projection	prompts/implement-plan.md	evaluation/standards-effectiveness/policy-impact/router.toml	sha256:7a7c846daff0d8218b41be8b8a88103315cb5c1586e01cea5893dc2c5896ef12	router.generated-contract-profile-applicability	prompt-projection	prompts/implement-plan.md	evaluation/standards-effectiveness/policy-impact/router.toml	sha256:7a7c846daff0d8218b41be8b8a88103315cb5c1586e01cea5893dc2c5896ef12	retain
router.generated-contract-profile-applicability	prompt-projection	prompts/planning.md	evaluation/standards-effectiveness/policy-impact/router.toml	sha256:62b2335748298b3d07d204fdeaa314d7a7174ad9dff1306a20f79ffc4a503863	router.generated-contract-profile-applicability	prompt-projection	prompts/planning.md	evaluation/standards-effectiveness/policy-impact/router.toml	sha256:62b2335748298b3d07d204fdeaa314d7a7174ad9dff1306a20f79ffc4a503863	retain
router.generated-contract-profile-applicability	router-projection	evaluation/standards-effectiveness/router-projection.toml	evaluation/standards-effectiveness/policy-impact/router.toml	sha256:5dfa1ed9bed59fd898d4fce34ece7e75e5c92b46e5b6e26a5d3b266f39cb0646	router.generated-contract-profile-applicability	router-projection	evaluation/standards-effectiveness/router-projection.toml	evaluation/standards-effectiveness/policy-impact/router.toml	sha256:5dfa1ed9bed59fd898d4fce34ece7e75e5c92b46e5b6e26a5d3b266f39cb0646	retain
topic.architecture.authority-scope-admission	enforcement-suite-projection	contract-authority-scope	evaluation/standards-effectiveness/policy-impact/topic.architecture.toml	sha256:da64260a819e54893afab49c3466ec60d6c3f2efe39a9f417ce490153ed8523e	topic.architecture.authority-scope-admission	enforcement-suite-projection	contract-authority-scope	evaluation/standards-effectiveness/policy-impact/topic.architecture.toml	sha256:da64260a819e54893afab49c3466ec60d6c3f2efe39a9f417ce490153ed8523e	retain
topic.architecture.authority-scope-admission	fixture-projection	evaluation/standards-effectiveness/fixtures/architecture/authority-scope-decisions.tsv	evaluation/standards-effectiveness/policy-impact/topic.architecture.toml	sha256:e19c38f834c820b056b238ca9734764b3b1eb606906aa7c4038dd7140c85724b	topic.architecture.authority-scope-admission	fixture-projection	evaluation/standards-effectiveness/fixtures/architecture/authority-scope-decisions.tsv	evaluation/standards-effectiveness/policy-impact/topic.architecture.toml	sha256:e19c38f834c820b056b238ca9734764b3b1eb606906aa7c4038dd7140c85724b	retain
topic.architecture.authority-scope-admission	implementation-projection	tools/standards_engine/contracts/a1-contract.schema.json	evaluation/standards-effectiveness/policy-impact/topic.architecture.toml	sha256:704801e156201d9802bfed9002fb2e0f6c6dd730dd6c5ab2c7981d3c1b2e8c8c	topic.architecture.authority-scope-admission	implementation-projection	tools/standards_engine/contracts/a1-contract.schema.json	evaluation/standards-effectiveness/policy-impact/topic.architecture.toml	sha256:704801e156201d9802bfed9002fb2e0f6c6dd730dd6c5ab2c7981d3c1b2e8c8c	retain
topic.architecture.authority-scope-admission	normative-consumer	profile.application.library	evaluation/standards-effectiveness/policy-impact/topic.architecture.toml	sha256:3de59b4ce6e2b09f07488f542232c1e7edd974a76c7e72cd045e35a28fb9b316	topic.architecture.authority-scope-admission	normative-consumer	profile.application.library	evaluation/standards-effectiveness/policy-impact/topic.architecture.toml	sha256:3de59b4ce6e2b09f07488f542232c1e7edd974a76c7e72cd045e35a28fb9b316	retain
topic.architecture.authority-scope-admission	normative-consumer	profile.boundary.generated-contract	evaluation/standards-effectiveness/policy-impact/topic.architecture.toml	sha256:644cc6f88c03f9ed8a413e14f824d8e55ef86574e1eca1b89c23f546efd38405	topic.architecture.authority-scope-admission	normative-consumer	profile.boundary.generated-contract	evaluation/standards-effectiveness/policy-impact/topic.architecture.toml	sha256:644cc6f88c03f9ed8a413e14f824d8e55ef86574e1eca1b89c23f546efd38405	retain
topic.architecture.authority-scope-admission	normative-consumer	profile.boundary.language-bindings	evaluation/standards-effectiveness/policy-impact/topic.architecture.toml	sha256:95f137aeb8c8a55339c5347871db4029e2ae156ab13d3d7e2c06081ec50a2de5	topic.architecture.authority-scope-admission	normative-consumer	profile.boundary.language-bindings	evaluation/standards-effectiveness/policy-impact/topic.architecture.toml	sha256:95f137aeb8c8a55339c5347871db4029e2ae156ab13d3d7e2c06081ec50a2de5	retain
topic.architecture.authority-scope-admission	normative-consumer	workflow.build	evaluation/standards-effectiveness/policy-impact/topic.architecture.toml	sha256:7dce1aadfb4620bffe1fdfe0d084643daaa89537bd01ca4018cf1cc6894c7e14	topic.architecture.authority-scope-admission	normative-consumer	workflow.build	evaluation/standards-effectiveness/policy-impact/topic.architecture.toml	sha256:7dce1aadfb4620bffe1fdfe0d084643daaa89537bd01ca4018cf1cc6894c7e14	retain
topic.architecture.authority-scope-admission	prompt-projection	prompts/implement-plan.md	evaluation/standards-effectiveness/policy-impact/topic.architecture.toml	sha256:a9068eb79b53f93770460145e5169ba9dfa18b2fa14cd5b4ddb39289d9af5206	topic.architecture.authority-scope-admission	prompt-projection	prompts/implement-plan.md	evaluation/standards-effectiveness/policy-impact/topic.architecture.toml	sha256:a9068eb79b53f93770460145e5169ba9dfa18b2fa14cd5b4ddb39289d9af5206	retain
topic.architecture.authority-scope-admission	prompt-projection	prompts/planning.md	evaluation/standards-effectiveness/policy-impact/topic.architecture.toml	sha256:1c5909062d682a58ca90ad0fe8eb791b6a4336d8e0afdcbc41d400a5519fa5a1	topic.architecture.authority-scope-admission	prompt-projection	prompts/planning.md	evaluation/standards-effectiveness/policy-impact/topic.architecture.toml	sha256:1c5909062d682a58ca90ad0fe8eb791b6a4336d8e0afdcbc41d400a5519fa5a1	retain
topic.architecture.authority-scope-admission	template-projection	templates/PLAN-TEMPLATE.md	evaluation/standards-effectiveness/policy-impact/topic.architecture.toml	sha256:6fd750e7c647359c455d493d0c6a455dd114baa09e9993c2045883811af5ee91	topic.architecture.authority-scope-admission	template-projection	templates/PLAN-TEMPLATE.md	evaluation/standards-effectiveness/policy-impact/topic.architecture.toml	sha256:6fd750e7c647359c455d493d0c6a455dd114baa09e9993c2045883811af5ee91	retain
topic.architecture.immutable-authority-closure	enforcement-suite-projection	immutable-authority-closure	evaluation/standards-effectiveness/policy-impact/topic.architecture.toml	sha256:b51fdb105602cbf936999191650fc2216bc554293dee26769d83797849069c18	topic.architecture.immutable-authority-closure	enforcement-suite-projection	immutable-authority-closure	evaluation/standards-effectiveness/policy-impact/topic.architecture.toml	sha256:b51fdb105602cbf936999191650fc2216bc554293dee26769d83797849069c18	retain
topic.architecture.immutable-authority-closure	fixture-projection	evaluation/standards-effectiveness/fixtures/architecture/immutable-authority-decisions.tsv	evaluation/standards-effectiveness/policy-impact/topic.architecture.toml	sha256:b5dedbb97e37c9dba5b4ec551dcfa66aac53c3484a17de9905fea77e8fe4648c	topic.architecture.immutable-authority-closure	fixture-projection	evaluation/standards-effectiveness/fixtures/architecture/immutable-authority-decisions.tsv	evaluation/standards-effectiveness/policy-impact/topic.architecture.toml	sha256:b5dedbb97e37c9dba5b4ec551dcfa66aac53c3484a17de9905fea77e8fe4648c	retain
					topic.architecture.immutable-authority-closure	fixture-projection	tools/standards_engine/tests/test_c7_analysis.py	evaluation/standards-effectiveness/policy-impact/topic.architecture.toml	sha256:0081e9b26e3a9cca05f736332f310987a5e6a86698e105a2efa0bced0203b10b	add
					topic.architecture.immutable-authority-closure	fixture-projection	tools/standards_verifier/tests/test_policy_impact.py	evaluation/standards-effectiveness/policy-impact/topic.architecture.toml	sha256:5a2e31b842a324cd26c8d6f4cfc4a2e734950f3f46f66ac6573341d6bfdfe333	add
					topic.architecture.immutable-authority-closure	implementation-projection	tools/standards_analysis/standards_analysis/coverage_authority.py	evaluation/standards-effectiveness/policy-impact/topic.architecture.toml	sha256:cd5d4010dca34bf8b862818bd50ceef29aaa768ff0679f76f24d12a851070710	add
					topic.architecture.immutable-authority-closure	implementation-projection	tools/standards_analysis/standards_analysis/kernel.py	evaluation/standards-effectiveness/policy-impact/topic.architecture.toml	sha256:111a93f96afdb0516a7176378893aea0c619840ff78e66cf2d00edc8a46431d8	add
topic.architecture.immutable-authority-closure	implementation-projection	tools/standards_analysis/standards_analysis/resolution.py	evaluation/standards-effectiveness/policy-impact/topic.architecture.toml	sha256:a6ee665806cf4f46aa815b01199ce75456e8a28a847c9191cc77cf54d585cc90						retire
topic.architecture.immutable-authority-closure	implementation-projection	tools/standards_analysis/standards_analysis/results.py	evaluation/standards-effectiveness/policy-impact/topic.architecture.toml	sha256:becfea7ac9fd52c8b4636bbabc1d3c0e5f0b7108bc038d571991998c9f4fdc06						retire
topic.architecture.immutable-authority-closure	implementation-projection	tools/standards_analysis/standards_analysis/snapshots.py	evaluation/standards-effectiveness/policy-impact/topic.architecture.toml	sha256:b34e191cb989093070066b85b4efc99b107d0e5008355ac691346b7c6a058c29						retire
					topic.architecture.immutable-authority-closure	implementation-projection	tools/standards_authority/standards_authority/snapshot.py	evaluation/standards-effectiveness/policy-impact/topic.architecture.toml	sha256:ee3a5e095fa7e9f902db9274ac77edf2d00e47e69079f6ac8acaca888cd8ac8d	add
					topic.architecture.immutable-authority-closure	implementation-projection	tools/standards_engine/standards_engine/_generated_contract.py	evaluation/standards-effectiveness/policy-impact/topic.architecture.toml	sha256:0ddf3a9c30790291242035980413514386652dcfa349b41dbc6d81cbf3d23acd	add
topic.architecture.immutable-authority-closure	implementation-projection	tools/standards_engine/standards_engine/engine.py	evaluation/standards-effectiveness/policy-impact/topic.architecture.toml	sha256:7e952932a18e6009e4890e0ed15f05e3e872161ab7b1cd16aef3314e48129b18	topic.architecture.immutable-authority-closure	implementation-projection	tools/standards_engine/standards_engine/engine.py	evaluation/standards-effectiveness/policy-impact/topic.architecture.toml	sha256:7e952932a18e6009e4890e0ed15f05e3e872161ab7b1cd16aef3314e48129b18	retain
					topic.architecture.immutable-authority-closure	implementation-projection	tools/standards_verifier/standards_verifier/policy_impact.py	evaluation/standards-effectiveness/policy-impact/topic.architecture.toml	sha256:5fb7ed7c827a30e4d949dd56eef777d02436da63daffe2140cc8a25efc80eae1	add
topic.architecture.immutable-authority-closure	normative-consumer	profile.boundary.persistence	evaluation/standards-effectiveness/policy-impact/topic.architecture.toml	sha256:7b53de195d24a854fb7a5d25c9f6b17fe220437b52fc6ee1243da35f9243077c	topic.architecture.immutable-authority-closure	normative-consumer	profile.boundary.persistence	evaluation/standards-effectiveness/policy-impact/topic.architecture.toml	sha256:7b53de195d24a854fb7a5d25c9f6b17fe220437b52fc6ee1243da35f9243077c	retain
topic.contracts.declaration-and-semantic-authority	enforcement-suite-projection	contract-authority-scope	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:d877c31950fa7ee090cad5529c3f69a6b72ab1af9e4f8f2bf1969f53a8ca3540	topic.contracts.declaration-and-semantic-authority	enforcement-suite-projection	contract-authority-scope	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:d877c31950fa7ee090cad5529c3f69a6b72ab1af9e4f8f2bf1969f53a8ca3540	retain
topic.contracts.declaration-and-semantic-authority	fixture-projection	evaluation/standards-effectiveness/fixtures/contracts/declaration-authority-decisions.tsv	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:25ae351332adbb578675db638e8442985556d1333a3f5e9c3a5a0e5a5de74e5d	topic.contracts.declaration-and-semantic-authority	fixture-projection	evaluation/standards-effectiveness/fixtures/contracts/declaration-authority-decisions.tsv	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:25ae351332adbb578675db638e8442985556d1333a3f5e9c3a5a0e5a5de74e5d	retain
					topic.contracts.declaration-and-semantic-authority	fixture-projection	tools/standards_analysis/tests/test_coverage.py	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:ba2f38c00a6a1330d67a235d24923ea1ced77ae1b25bdfef7ab978e429700cf2	add
					topic.contracts.declaration-and-semantic-authority	implementation-projection	tools/standards_analysis/standards_analysis/coverage_authority.py	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:c0a2acd1cd424ff13fca1ec1dd0d94fc8eb975227aa626cf87879ee3c6dbf411	add
					topic.contracts.declaration-and-semantic-authority	implementation-projection	tools/standards_contracts/standards_contracts/compiler.py	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:eea276fd12f91d813fd28b5d41679bce7244ff1f6b87e57bd4a6030c1ad99510	add
topic.contracts.declaration-and-semantic-authority	implementation-projection	tools/standards_engine/contracts/a1-contract.schema.json	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:d5a44fdedb877b38dfbf92a8d8884389b49d0845e3aa63efb2c52e55b00c245d	topic.contracts.declaration-and-semantic-authority	implementation-projection	tools/standards_engine/contracts/a1-contract.schema.json	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:d5a44fdedb877b38dfbf92a8d8884389b49d0845e3aa63efb2c52e55b00c245d	retain
topic.contracts.declaration-and-semantic-authority	implementation-projection	tools/standards_engine/contracts/generate_contract.py	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:8bd1f4514e7006b4d57e48292f1cacc7af5d3eb534622cb17cea648db6cef2a2	topic.contracts.declaration-and-semantic-authority	implementation-projection	tools/standards_contracts/standards_contracts/projection.py	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:28cab9ad8d6741dc47955b279f4fea6f4f550d2224394ab5a537858b99a24bb4	replace
topic.contracts.declaration-and-semantic-authority	implementation-projection	tools/standards_engine/contracts/validate_contracts.py	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:a0995262d8e0e41a77d9c0f6bd55d3689f7886a4e3a87642c3e8d95782ec238a						retire
topic.contracts.declaration-and-semantic-authority	implementation-projection	tools/standards_engine/standards_engine/_generated_contract.py	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:4623cd788f57c90db5f415570c3074d6925f2bfa4c7b46e52521e33dc4b5b531	topic.contracts.declaration-and-semantic-authority	implementation-projection	tools/standards_engine/standards_engine/_generated_contract.py	evaluation/standards-effectiveness/policy-impact/topic.contracts.toml	sha256:4623cd788f57c90db5f415570c3074d6925f2bfa4c7b46e52521e33dc4b5b531	retain
