node_id	repository_path	artifact_kind	authority	disposition
planning-admission	evaluation/standards-effectiveness/suites/planning-admission.toml	enforcement-suite	evidence	add-explicit-kind
planning-consolidation	evaluation/standards-effectiveness/suites/planning-consolidation.toml	enforcement-suite	evidence	add-explicit-kind
policy-semantic-impact	evaluation/standards-effectiveness/suites/policy-semantic-impact.toml	enforcement-suite	evidence	add-explicit-kind
s1-routing	evaluation/standards-effectiveness/suites/s1-routing.toml	enforcement-suite	evidence	add-explicit-kind
commit-consolidation-dispositions	evaluation/standards-effectiveness/suites/commit-consolidation-dispositions.toml	enforcement-suite	evidence	add-explicit-kind
release-maintenance-policy	evaluation/standards-effectiveness/suites/release-maintenance-policy.toml	enforcement-suite	evidence	add-explicit-kind
evaluation/standards-effectiveness/router-projection.toml	evaluation/standards-effectiveness/router-projection.toml	routing-projection	projection	add-explicit-kind
evaluation/standards-effectiveness/fixtures/routing/generated-contract-decisions.tsv	evaluation/standards-effectiveness/fixtures/routing/generated-contract-decisions.tsv	fixture	evidence	add-explicit-kind
evaluation/standards-effectiveness/fixtures/routing/generated-contract-routes.tsv	evaluation/standards-effectiveness/fixtures/routing/generated-contract-routes.tsv	fixture	evidence	add-explicit-kind
evaluation/standards-effectiveness/fixtures/verification/evidence-oracle-decisions.tsv	evaluation/standards-effectiveness/fixtures/verification/evidence-oracle-decisions.tsv	fixture	evidence	add-explicit-kind
evaluation/standards-effectiveness/fixtures/contracts/generated-contract-conformance-decisions.tsv	evaluation/standards-effectiveness/fixtures/contracts/generated-contract-conformance-decisions.tsv	fixture	evidence	add-explicit-kind
evaluation/standards-effectiveness/fixtures/architecture/immutable-authority-decisions.tsv	evaluation/standards-effectiveness/fixtures/architecture/immutable-authority-decisions.tsv	fixture	evidence	add-explicit-kind
evaluation/standards-effectiveness/fixtures/dependencies/implementation-versus-dependency-decisions.tsv	evaluation/standards-effectiveness/fixtures/dependencies/implementation-versus-dependency-decisions.tsv	fixture	evidence	add-explicit-kind
evaluation/standards-effectiveness/fixtures/planning/systemic-finding-replan-decisions.tsv	evaluation/standards-effectiveness/fixtures/planning/systemic-finding-replan-decisions.tsv	fixture	evidence	add-explicit-kind
evaluation/standards-effectiveness/fixtures/planning/systemic-finding-missing-audit.md	evaluation/standards-effectiveness/fixtures/planning/systemic-finding-missing-audit.md	fixture	evidence	add-explicit-kind
standards-recovery-routing	evaluation/standards-effectiveness/suites/standards-recovery-routing.toml	enforcement-suite	evidence	add-explicit-kind
evidence-oracle-boundaries	evaluation/standards-effectiveness/suites/evidence-oracle-boundaries.toml	enforcement-suite	evidence	add-explicit-kind
generated-contract-semantic-conformance	evaluation/standards-effectiveness/suites/generated-contract-semantic-conformance.toml	enforcement-suite	evidence	add-explicit-kind
immutable-authority-closure	evaluation/standards-effectiveness/suites/immutable-authority-closure.toml	enforcement-suite	evidence	add-explicit-kind
implementation-versus-dependency	evaluation/standards-effectiveness/suites/implementation-versus-dependency.toml	enforcement-suite	evidence	add-explicit-kind
systemic-finding-replanning	evaluation/standards-effectiveness/suites/systemic-finding-replanning.toml	enforcement-suite	evidence	add-explicit-kind
docs/plans/standards-engine-standards-recovery/reports/json-schema-instance-equality-reproduction.md	docs/plans/standards-engine-standards-recovery/reports/json-schema-instance-equality-reproduction.md	documentation	evidence	add-explicit-kind
docs/plans/standards-engine-standards-recovery/reports/historical-a1-repair-reproductions.md	docs/plans/standards-engine-standards-recovery/reports/historical-a1-repair-reproductions.md	documentation	evidence	add-explicit-kind
tools/standards_engine/contracts/a1-contract.schema.json	tools/standards_engine/contracts/a1-contract.schema.json	implementation-artifact	evidence	add-explicit-kind
tools/standards_engine/contracts/generate_contract.py	tools/standards_engine/contracts/generate_contract.py	implementation-artifact	evidence	add-explicit-kind
tools/standards_engine/contracts/validate_contracts.py	tools/standards_engine/contracts/validate_contracts.py	implementation-artifact	evidence	add-explicit-kind
tools/standards_engine/standards_engine/_generated_contract.py	tools/standards_engine/standards_engine/_generated_contract.py	implementation-artifact	evidence	add-explicit-kind
tools/standards_engine/standards_engine/__init__.py	tools/standards_engine/standards_engine/__init__.py	implementation-artifact	evidence	add-explicit-kind
tools/standards_engine/standards_engine/tools.py	tools/standards_engine/standards_engine/tools.py	implementation-artifact	evidence	add-explicit-kind
tools/standards_engine/standards_engine/engine.py	tools/standards_engine/standards_engine/engine.py	implementation-artifact	evidence	add-explicit-kind
tools/standards_engine/standards_engine/model.py	tools/standards_engine/standards_engine/model.py	implementation-artifact	evidence	add-explicit-kind
tools/standards_metadata/standards_metadata/serialization.py	tools/standards_metadata/standards_metadata/serialization.py	implementation-artifact	evidence	add-explicit-kind
tools/standards_applicability/standards_applicability/core.py	tools/standards_applicability/standards_applicability/core.py	implementation-artifact	evidence	add-explicit-kind
tools/standards_analysis/standards_analysis/snapshots.py	tools/standards_analysis/standards_analysis/snapshots.py	implementation-artifact	evidence	add-explicit-kind
tools/standards_analysis/standards_analysis/resolution.py	tools/standards_analysis/standards_analysis/resolution.py	implementation-artifact	evidence	add-explicit-kind
tools/standards_analysis/standards_analysis/results.py	tools/standards_analysis/standards_analysis/results.py	implementation-artifact	evidence	add-explicit-kind
