case	context	isolation	proposal	replacement_state	target	visibility	topology	terminal	long_lived_contract	ownership	worktree	cleanup_basis	head_reachability	commit_disposition	discard_authority	mapping	prepared_in_worktree	expected_isolation	expected_integration	expected_terminal	expected_lineage	expected_cleanup
stale-registration-archived	complete	material	complete	not-applicable	current-descendant	private	linear	integrated	not-applicable	owned	stale-registration	terminal	registration-only	archived	not-applicable	not-applicable	no	isolated	fast-forward	integrated	not-required	pruned-archived-registration
stale-registration-unprotected	complete	material	complete	not-applicable	current-descendant	private	linear	integrated	not-applicable	owned	stale-registration	terminal	registration-only	missing	missing	not-applicable	no	isolated	fast-forward	integrated	not-required	refuse-cleanup
stale-registration-unknown	complete	material	complete	not-applicable	current-descendant	private	linear	integrated	not-applicable	owned	stale-registration	terminal	unknown	missing	missing	not-applicable	no	isolated	fast-forward	integrated	not-required	refuse-cleanup
dirty-worktree	complete	material	complete	not-applicable	current-descendant	private	linear	integrated	not-applicable	owned	dirty	terminal	registration-only	retained	missing	not-applicable	yes	isolated	fast-forward	integrated	not-required	retained-protected-worktree
unique-worktree	complete	material	complete	not-applicable	current-descendant	private	linear	integrated	not-applicable	owned	unique	terminal	registration-only	retained	missing	not-applicable	yes	isolated	fast-forward	integrated	not-required	retained-protected-worktree
rejected-unique-explicit-discard	complete	material	none	not-applicable	not-applicable	private	linear	rejected	not-applicable	owned	unique	terminal	registration-only	discard-authorized	explicit	not-applicable	yes	isolated	not-applicable	rejected	not-required	discard-authorized
discard-disposition-without-authority	complete	material	none	not-applicable	not-applicable	private	linear	rejected	not-applicable	owned	unique	terminal	registration-only	discard-authorized	missing	not-applicable	yes	isolated	not-applicable	rejected	not-required	typed-invalid
discard-authority-without-disposition	complete	material	none	not-applicable	not-applicable	private	linear	rejected	not-applicable	owned	unique	terminal	registration-only	missing	explicit	not-applicable	yes	isolated	not-applicable	rejected	not-required	typed-invalid
locked-worktree	complete	material	complete	not-applicable	current-descendant	private	linear	integrated	not-applicable	owned	locked	terminal	registration-only	retained	missing	not-applicable	yes	isolated	fast-forward	integrated	not-required	retained-protected-worktree
unknown-branch	complete	material	complete	not-applicable	current-descendant	private	linear	integrated	not-applicable	unknown	none	terminal	unknown	missing	missing	not-applicable	no	isolated	fast-forward	integrated	not-required	refuse-cleanup
age-only-cleanup	complete	material	complete	not-applicable	current-descendant	private	linear	integrated	not-applicable	owned	none	age	not-applicable	not-applicable	not-applicable	not-applicable	no	isolated	fast-forward	integrated	not-required	refuse-cleanup
count-only-cleanup	complete	material	complete	not-applicable	current-descendant	private	linear	integrated	not-applicable	owned	none	count	not-applicable	not-applicable	not-applicable	not-applicable	no	isolated	fast-forward	integrated	not-required	refuse-cleanup
force-cleanup	complete	material	complete	not-applicable	current-descendant	private	linear	integrated	not-applicable	owned	clean	force	retained-ref	retained	not-applicable	not-applicable	yes	isolated	fast-forward	integrated	not-required	refuse-cleanup
redundant-evidence-branch	complete	material	complete	not-applicable	current-descendant	private	linear	integrated	not-applicable	owned	none	evidence-only	not-applicable	not-applicable	not-applicable	complete	no	isolated	fast-forward	integrated	not-required	retire-redundant-ref
patch-equivalent-unmapped	complete	material	selective	created	current-descendant	private	linear	integrated	not-applicable	owned	none	evidence-only	not-applicable	not-applicable	not-applicable	missing	no	isolated	not-applicable	typed-unavailable	mapping-required	refuse-cleanup
